Denmark,  Exposures (Lexis triangle)	Last modified: 24 Feb 2024;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1835    0      1835     9310.07     9678.43    18988.50
 1835    0      1834     8479.24     8799.26    17278.51
 1835    1      1834     7926.33     8077.30    16003.63
 1835    1      1833     7505.66     7653.46    15159.12
 1835    2      1833     7286.70     7408.60    14695.30
 1835    2      1832     6850.24     6965.36    13815.60
 1835    3      1832     6692.47     6791.69    13484.15
 1835    3      1831     6554.67     6654.85    13209.52
 1835    4      1831     6453.32     6551.13    13004.46
 1835    4      1830     6531.77     6635.77    13167.54
 1835    5      1830     6458.45     6563.66    13022.11
 1835    5      1829     6514.83     6636.13    13150.96
 1835    6      1829     6451.09     6572.23    13023.32
 1835    6      1828     6539.23     6659.67    13198.89
 1835    7      1828     6482.29     6600.86    13083.14
 1835    7      1827     6683.55     6805.88    13489.44
 1835    8      1827     6632.43     6752.49    13384.92
 1835    8      1826     6805.57     6931.57    13737.14
 1835    9      1826     6759.26     6883.90    13643.16
 1835    9      1825     6873.89     6991.46    13865.35
 1835   10      1825     6832.11     6950.16    13782.27
 1835   10      1824     7039.85     7016.14    14055.99
 1835   11      1824     7000.66     6979.82    13980.49
 1835   11      1823     6945.92     6934.02    13879.94
 1835   12      1823     6909.75     6902.18    13811.93
 1835   12      1822     6832.74     6833.94    13666.69
 1835   13      1822     6799.37     6805.43    13604.80
 1835   13      1821     6698.78     6711.94    13410.72
 1835   14      1821     6668.00     6685.60    13353.60
 1835   14      1820     6555.85     6567.79    13123.64
 1835   15      1820     6527.40     6542.76    13070.16
 1835   15      1819     6532.27     6440.47    12972.74
 1835   16      1819     6505.74     6415.56    12921.30
 1835   16      1818     6414.32     6325.87    12740.19
 1835   17      1818     6389.06     6300.91    12689.97
 1835   17      1817     6287.77     6198.09    12485.86
 1835   18      1817     6263.09     6172.76    12435.85
 1835   18      1816     6070.74     5976.73    12047.47
 1835   19      1816     6045.97     5950.69    11996.66
 1835   19      1815     5724.15     5626.14    11350.29
 1835   20      1815     5698.48     5598.57    11297.04
 1835   20      1814     5323.90     5242.07    10565.97
 1835   21      1814     5297.46     5214.14    10511.60
 1835   21      1813     5125.98     5030.62    10156.60
 1835   22      1813     5098.72     5002.15    10100.87
 1835   22      1812     5023.72     4915.11     9938.83
 1835   23      1812     4995.87     4886.53     9882.39
 1835   23      1811     4962.76     4843.30     9806.07
 1835   24      1811     4934.53     4815.05     9749.58
 1835   24      1810     4890.76     4768.13     9658.89
 1835   25      1810     4862.32     4740.44     9602.76
 1835   25      1809     4635.65     4539.86     9175.51
 1835   26      1809     4607.23     4513.05     9120.28
 1835   26      1808     4604.36     4511.58     9115.95
 1835   27      1808     4576.02     4485.27     9061.28
 1835   27      1807     4603.78     4517.36     9121.14
 1835   28      1807     4575.60     4491.22     9066.82
 1835   28      1806     4603.95     4526.52     9130.47
 1835   29      1806     4576.01     4500.24     9076.25
 1835   29      1805     4594.96     4535.20     9130.17
 1835   30      1805     4567.30     4508.61     9075.91
 1835   30      1804     4677.31     4700.71     9378.03
 1835   31      1804     4649.84     4673.31     9323.15
 1835   31      1803     4581.51     4616.38     9197.89
 1835   32      1803     4553.92     4588.12     9142.04
 1835   32      1802     4471.84     4517.72     8989.55
 1835   33      1802     4443.80     4488.46     8932.26
 1835   33      1801     4354.57     4411.13     8765.69
 1835   34      1801     4325.75     4380.73     8706.48
 1835   34      1800     4212.67     4262.42     8475.09
 1835   35      1800     4182.91     4231.08     8413.98
 1835   35      1799     4068.94     3954.86     8023.80
 1835   36      1799     4038.09     3922.10     7960.19
 1835   36      1798     3924.15     3825.37     7749.52
 1835   37      1798     3892.70     3791.88     7684.57
 1835   37      1797     3823.38     3738.62     7562.00
 1835   38      1797     3791.76     3704.81     7496.58
 1835   38      1796     3717.79     3647.69     7365.48
 1835   39      1796     3686.47     3614.00     7300.46
 1835   39      1795     3603.66     3534.01     7137.67
 1835   40      1795     3573.03     3500.96     7073.99
 1835   40      1794     3739.37     3514.87     7254.24
 1835   41      1794     3709.64     3482.15     7191.79
 1835   41      1793     3610.41     3408.82     7019.23
 1835   42      1793     3581.51     3376.31     6957.82
 1835   42      1792     3480.22     3299.71     6779.93
 1835   43      1792     3452.05     3267.04     6719.09
 1835   43      1791     3332.17     3171.71     6503.88
 1835   44      1791     3304.63     3138.51     6443.14
 1835   44      1790     3158.99     3012.16     6171.14
 1835   45      1790     3131.96     2978.22     6110.18
 1835   45      1789     2957.57     2777.04     5734.61
 1835   46      1789     2930.79     2742.09     5672.87
 1835   46      1788     2862.83     2687.23     5550.06
 1835   47      1788     2835.91     2651.55     5487.46
 1835   47      1787     2795.19     2619.06     5414.25
 1835   48      1787     2767.70     2582.91     5350.61
 1835   48      1786     2746.93     2567.20     5314.13
 1835   49      1786     2718.45     2530.83     5249.28
 1835   49      1785     2727.41     2539.90     5267.30
 1835   50      1785     2697.61     2503.48     5201.09
 1835   50      1784     2766.00     2550.70     5316.70
 1835   51      1784     2734.75     2514.16     5248.92
 1835   51      1783     2727.44     2514.95     5242.39
 1835   52      1783     2695.03     2477.88     5172.92
 1835   52      1782     2684.65     2478.14     5162.79
 1835   53      1782     2651.41     2440.08     5091.48
 1835   53      1781     2637.98     2439.61     5077.59
 1835   54      1781     2604.21     2400.09     5004.30
 1835   54      1780     2592.99     2398.57     4991.56
 1835   55      1780     2558.99     2357.19     4916.18
 1835   55      1779     2560.33     2332.62     4892.95
 1835   56      1779     2526.04     2289.38     4815.42
 1835   56      1778     2504.38     2281.32     4785.70
 1835   57      1778     2469.53     2236.59     4706.11
 1835   57      1777     2438.42     2217.33     4655.76
 1835   58      1777     2402.65     2171.56     4574.21
 1835   58      1776     2346.74     2127.60     4474.34
 1835   59      1776     2309.68     2081.23     4390.91
 1835   59      1775     2211.50     1994.87     4206.37
 1835   60      1775     2173.01     1948.37     4121.38
 1835   60      1774     2116.74     1862.68     3979.42
 1835   61      1774     2076.32     1816.00     3892.31
 1835   61      1773     2006.39     1757.45     3763.84
 1835   62      1773     1964.20     1710.45     3674.65
 1835   62      1772     1905.85     1661.70     3567.55
 1835   63      1772     1861.93     1614.08     3476.01
 1835   63      1771     1816.58     1575.79     3392.37
 1835   64      1771     1770.96     1527.28     3298.24
 1835   64      1770     1749.66     1507.35     3257.01
 1835   65      1770     1702.62     1457.83     3160.45
 1835   65      1769     1684.35     1442.59     3126.94
 1835   66      1769     1635.76     1391.88     3027.64
 1835   66      1768     1625.89     1376.56     3002.44
 1835   67      1768     1576.39     1325.08     2901.47
 1835   67      1767     1560.35     1303.29     2863.63
 1835   68      1767     1510.45     1251.42     2761.86
 1835   68      1766     1482.49     1220.95     2703.45
 1835   69      1766     1432.69     1169.06     2601.76
 1835   69      1765     1387.88     1130.62     2518.50
 1835   70      1765     1338.75     1079.18     2417.93
 1835   70      1764     1262.83     1036.24     2299.07
 1835   71      1764     1214.23      985.45     2199.68
 1835   71      1763     1162.87      946.84     2109.72
 1835   72      1763     1114.73      897.19     2011.92
 1835   72      1762     1065.96      863.77     1929.73
 1835   73      1762     1017.99      815.67     1833.66
 1835   73      1761     1003.20      797.06     1800.26
 1835   74      1761      955.12      750.93     1706.04
 1835   74      1760      911.41      721.30     1632.71
 1835   75      1760      863.17      677.57     1540.74
 1835   75      1759      828.33      651.86     1480.19
 1835   76      1759      779.83      610.39     1390.22
 1835   76      1758      751.04      586.05     1337.09
 1835   77      1758      703.05      546.72     1249.77
 1835   77      1757      676.47      521.60     1198.07
 1835   78      1757      629.71      484.09     1113.80
 1835   78      1756      602.79      458.38     1061.17
 1835   79      1756      557.96      422.40      980.36
 1835   79      1755      530.66      397.33      927.99
 1835   80      1755      488.45      362.62      851.07
 1835   80      1754      460.12      338.55      798.66
