PopName,Area,Year,YearReg,YearInterval,Sex,Age,AgeInterval,Lexis,RefCode,Access,Deaths,NoteCode1,NoteCode2,NoteCode3,LDB
DNK,2,1835,1835,1,f,0,1,RR,15,O,3315,.,.,.,1
DNK,2,1835,1835,1,f,1,2,RR,15,O,1448,.,.,.,1
DNK,2,1835,1835,1,f,3,2,RR,15,O,609,.,.,.,1
DNK,2,1835,1835,1,f,5,5,RR,15,O,821,.,.,.,1
DNK,2,1835,1835,1,f,10,5,RR,15,O,523,.,.,.,1
DNK,2,1835,1835,1,f,15,5,RR,15,O,382,.,.,.,1
DNK,2,1835,1835,1,f,20,5,RR,15,O,411,.,.,.,1
DNK,2,1835,1835,1,f,25,5,RR,15,O,423,.,.,.,1
DNK,2,1835,1835,1,f,30,5,RR,15,O,421,.,.,.,1
DNK,2,1835,1835,1,f,35,5,RR,15,O,468,.,.,.,1
DNK,2,1835,1835,1,f,40,5,RR,15,O,429,.,.,.,1
DNK,2,1835,1835,1,f,45,5,RR,15,O,413,.,.,.,1
DNK,2,1835,1835,1,f,50,5,RR,15,O,489,.,.,.,1
DNK,2,1835,1835,1,f,55,5,RR,15,O,534,.,.,.,1
DNK,2,1835,1835,1,f,60,5,RR,15,O,646,.,.,.,1
DNK,2,1835,1835,1,f,65,5,RR,15,O,740,.,.,.,1
DNK,2,1835,1835,1,f,70,5,RR,15,O,724,.,.,.,1
DNK,2,1835,1835,1,f,75,5,RR,15,O,702,.,.,.,1
DNK,2,1835,1835,1,f,80,5,RR,15,O,510,.,.,.,1
DNK,2,1835,1835,1,f,85,5,RR,15,O,251,.,.,.,1
DNK,2,1835,1835,1,f,90,5,RR,15,O,70,.,.,.,1
DNK,2,1835,1835,1,f,95,5,RR,15,O,12,.,.,.,1
DNK,2,1835,1835,1,f,100,5,RR,15,O,2,.,.,.,1
DNK,2,1835,1835,1,f,105,5,RR,15,O,1,.,.,.,1
DNK,2,1835,1835,1,f,110,+,RR,15,O,0,.,.,.,1
DNK,2,1835,1835,1,m,0,1,RR,15,O,4376,.,.,.,1
DNK,2,1835,1835,1,m,1,2,RR,15,O,1621,.,.,.,1
DNK,2,1835,1835,1,m,3,2,RR,15,O,624,.,.,.,1
DNK,2,1835,1835,1,m,5,5,RR,15,O,838,.,.,.,1
DNK,2,1835,1835,1,m,10,5,RR,15,O,465,.,.,.,1
DNK,2,1835,1835,1,m,15,5,RR,15,O,381,.,.,.,1
DNK,2,1835,1835,1,m,20,5,RR,15,O,423,.,.,.,1
DNK,2,1835,1835,1,m,25,5,RR,15,O,397,.,.,.,1
DNK,2,1835,1835,1,m,30,5,RR,15,O,433,.,.,.,1
DNK,2,1835,1835,1,m,35,5,RR,15,O,500,.,.,.,1
DNK,2,1835,1835,1,m,40,5,RR,15,O,493,.,.,.,1
DNK,2,1835,1835,1,m,45,5,RR,15,O,536,.,.,.,1
DNK,2,1835,1835,1,m,50,5,RR,15,O,569,.,.,.,1
DNK,2,1835,1835,1,m,55,5,RR,15,O,674,.,.,.,1
DNK,2,1835,1835,1,m,60,5,RR,15,O,713,.,.,.,1
DNK,2,1835,1835,1,m,65,5,RR,15,O,771,.,.,.,1
DNK,2,1835,1835,1,m,70,5,RR,15,O,728,.,.,.,1
DNK,2,1835,1835,1,m,75,5,RR,15,O,579,.,.,.,1
DNK,2,1835,1835,1,m,80,5,RR,15,O,445,.,.,.,1
DNK,2,1835,1835,1,m,85,5,RR,15,O,208,.,.,.,1
DNK,2,1835,1835,1,m,90,5,RR,15,O,42,.,.,.,1
DNK,2,1835,1835,1,m,95,5,RR,15,O,9,.,.,.,1
DNK,2,1835,1835,1,m,100,5,RR,15,O,1,.,.,.,1
DNK,2,1835,1835,1,m,105,5,RR,15,O,0,.,.,.,1
DNK,2,1835,1835,1,m,110,+,RR,15,O,0,.,.,.,1
DNK,2,1836,1836,1,f,0,1,RR,15,O,3516,.,.,.,1
DNK,2,1836,1836,1,f,1,2,RR,15,O,1233,.,.,.,1
DNK,2,1836,1836,1,f,3,2,RR,15,O,449,.,.,.,1
DNK,2,1836,1836,1,f,5,5,RR,15,O,629,.,.,.,1
DNK,2,1836,1836,1,f,10,5,RR,15,O,390,.,.,.,1
DNK,2,1836,1836,1,f,15,5,RR,15,O,360,.,.,.,1
DNK,2,1836,1836,1,f,20,5,RR,15,O,368,.,.,.,1
DNK,2,1836,1836,1,f,25,5,RR,15,O,408,.,.,.,1
DNK,2,1836,1836,1,f,30,5,RR,15,O,455,.,.,.,1
DNK,2,1836,1836,1,f,35,5,RR,15,O,495,.,.,.,1
DNK,2,1836,1836,1,f,40,5,RR,15,O,472,.,.,.,1
DNK,2,1836,1836,1,f,45,5,RR,15,O,430,.,.,.,1
DNK,2,1836,1836,1,f,50,5,RR,15,O,464,.,.,.,1
DNK,2,1836,1836,1,f,55,5,RR,15,O,571,.,.,.,1
DNK,2,1836,1836,1,f,60,5,RR,15,O,693,.,.,.,1
DNK,2,1836,1836,1,f,65,5,RR,15,O,778,.,.,.,1
DNK,2,1836,1836,1,f,70,5,RR,15,O,826,.,.,.,1
DNK,2,1836,1836,1,f,75,5,RR,15,O,759,.,.,.,1
DNK,2,1836,1836,1,f,80,5,RR,15,O,578,.,.,.,1
DNK,2,1836,1836,1,f,85,5,RR,15,O,306,.,.,.,1
DNK,2,1836,1836,1,f,90,5,RR,15,O,93,.,.,.,1
DNK,2,1836,1836,1,f,95,5,RR,15,O,20,.,.,.,1
DNK,2,1836,1836,1,f,100,5,RR,15,O,1,.,.,.,1
DNK,2,1836,1836,1,f,105,5,RR,15,O,1,.,.,.,1
DNK,2,1836,1836,1,f,110,+,RR,15,O,0,.,.,.,1
DNK,2,1836,1836,1,m,0,1,RR,15,O,4338,.,.,.,1
