France, Total Population,  Exposures (Lexis triangle)	Last modified: 13 Sep 2023;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1816    0      1816   217389.04   229126.09   446515.12
 1816    0      1815   190835.18   197004.30   387839.48
 1816    1      1815   199261.95   209763.05   409025.00
 1816    1      1814   183190.14   190058.02   373248.16
 1816    2      1814   176137.26   181561.15   357698.41
 1816    2      1813   175316.73   181839.75   357156.48
 1816    3      1813   167738.60   172780.83   340519.43
 1816    3      1812   169994.52   176309.12   346303.64
 1816    4      1812   162066.13   166839.55   328905.67
 1816    4      1811   169509.80   175787.01   345296.81
 1816    5      1811   157826.57   162356.50   320183.07
 1816    5      1810   155727.39   164164.94   319892.33
 1816    6      1810   153752.12   162107.61   315859.73
 1816    6      1809   153101.12   161392.06   314493.17
 1816    7      1809   151045.70   159130.48   310176.18
 1816    7      1808   150814.70   158966.89   309781.59
 1816    8      1808   148811.66   156650.23   305461.89
 1816    8      1807   147826.98   155806.59   303633.57
 1816    9      1807   146882.07   154483.28   301365.35
 1816    9      1806   142175.24   149829.38   292004.62
 1816   10      1806   144198.81   151531.21   295730.02
 1816   10      1805   145042.89   145902.73   290945.61
 1816   11      1805   144926.15   145778.56   290704.70
 1816   11      1804   143805.88   144638.35   288444.24
 1816   12      1804   143712.66   144502.56   288215.21
 1816   12      1803   142635.07   143441.08   286076.15
 1816   13      1803   142494.18   143272.50   285766.68
 1816   13      1802   141866.00   142642.42   284508.42
 1816   14      1802   141242.26   142076.64   283318.89
 1816   14      1801   141985.69   142763.25   284748.93
 1816   15      1801   140258.89   141252.12   281511.00
 1816   15      1800   148320.99   144148.20   292469.19
 1816   16      1800   145629.33   141313.20   286942.52
 1816   16      1799   145730.00   141656.77   287386.77
 1816   17      1799   144309.55   140259.01   284568.56
 1816   17      1798   141793.39   137871.39   279664.78
 1816   18      1798   141545.85   137768.63   279314.47
 1816   18      1797   137095.88   133374.48   270470.36
 1816   19      1797   137570.68   134011.13   271581.81
 1816   19      1796   132221.00   128656.69   260877.68
 1816   20      1796   133038.02   129540.97   262578.99
 1816   20      1795   144658.67   124684.10   269342.77
 1816   21      1795   144580.68   124913.39   269494.06
 1816   21      1794   137512.63   118507.61   256020.23
 1816   22      1794   136976.41   118065.92   255042.33
 1816   22      1793   131573.37   113344.82   244918.19
 1816   23      1793   130564.26   112198.17   242762.43
 1816   23      1792   126312.05   108748.53   235060.58
 1816   24      1792   125291.07   107326.58   232617.64
 1816   24      1791   121533.89   104563.14   226097.03
 1816   25      1791   120602.91   103017.06   223619.97
 1816   25      1790   120458.05    98553.23   219011.28
 1816   26      1790   121178.67    99108.95   220287.62
 1816   26      1789   119703.04    97910.61   217613.66
 1816   27      1789   120167.93    98164.01   218331.94
 1816   27      1788   119569.55    97791.66   217361.21
 1816   28      1788   119485.34    97545.33   217030.67
 1816   28      1787   120704.00    98719.23   219423.22
 1816   29      1787   119371.11    97428.71   216799.82
 1816   29      1786   123667.24   101159.16   224826.40
 1816   30      1786   120474.85    98343.28   218818.13
 1816   30      1785   112476.13   101820.43   214296.56
 1816   31      1785   111456.20   100757.65   212213.85
 1816   31      1784   111846.03   101250.83   213096.87
 1816   32      1784   110773.91   100161.82   210935.73
 1816   32      1783   110899.84   100393.39   211293.23
 1816   33      1783   110097.88    99582.55   209680.44
 1816   33      1782   109429.11    99053.33   208482.45
 1816   34      1782   109105.17    98722.74   207827.91
 1816   34      1781   107917.02    97687.24   205604.26
 1816   35      1781   107585.27    97395.27   204980.54
 1816   35      1780   107294.77    97856.17   205150.94
 1816   36      1780   105347.28    96026.96   201374.23
 1816   36      1779   105097.79    95848.71   200946.50
 1816   37      1779   103715.08    94588.87   198303.95
 1816   37      1778   102363.67    93350.84   195714.51
 1816   38      1778   101513.85    92622.16   194136.01
 1816   38      1777    99082.43    90347.77   189430.20
 1816   39      1777    98806.15    90174.79   188980.94
 1816   39      1776    95160.28    86772.21   181932.49
 1816   40      1776    95581.96    87236.80   182818.75
 1816   40      1775    99115.52    83336.50   182452.02
 1816   41      1775    99504.98    83732.83   183237.81
 1816   41      1774    95765.30    80517.99   176283.29
 1816   42      1774    95473.55    80296.69   175770.24
 1816   42      1773    93439.99    78563.32   172003.31
 1816   43      1773    92247.73    77545.43   169793.17
 1816   43      1772    91746.34    77137.96   168884.30
 1816   44      1772    89998.47    75639.38   165637.84
 1816   44      1771    89888.53    75583.21   165471.74
 1816   45      1771    88321.45    74253.61   162575.06
 1816   45      1770    86093.67    73810.84   159904.51
 1816   46      1770    85100.24    72729.74   157829.97
 1816   46      1769    86186.81    73907.87   160094.69
 1816   47      1769    85244.61    72939.96   158184.57
 1816   47      1768    85939.70    73719.68   159659.38
 1816   48      1768    85193.73    72994.54   158188.27
 1816   48      1767    85477.10    73355.13   158832.23
 1816   49      1767    84785.30    72745.36   157530.66
 1816   49      1766    85208.41    73155.30   158363.71
 1816   50      1766    84158.04    72304.05   156462.09
 1816   50      1765    79739.32    73238.22   152977.53
 1816   51      1765    78573.89    72028.80   150602.69
 1816   51      1764    78373.06    72014.43   150387.49
 1816   52      1764    77146.96    70797.97   147944.93
 1816   52      1763    76998.50    70780.24   147778.74
 1816   53      1763    75744.62    69559.57   145304.19
 1816   53      1762    75365.72    69306.82   144672.54
 1816   54      1762    74395.66    68331.61   142727.26
 1816   54      1761    73266.43    67393.35   140659.78
 1816   55      1761    72861.75    66885.20   139746.95
 1816   55      1760    70648.46    66768.15   137416.62
 1816   56      1760    68661.66    65003.86   133665.52
 1816   56      1759    69043.34    65242.85   134286.19
 1816   57      1759    67440.01    63729.64   131169.64
 1816   57      1758    67150.46    63432.53   130582.99
 1816   58      1758    65935.15    62188.12   128123.27
 1816   58      1757    64872.52    61253.87   126126.39
 1816   59      1757    64084.57    60342.21   124426.78
 1816   59      1756    61841.72    58355.13   120196.85
 1816   60      1756    61800.35    58118.18   119918.53
 1816   60      1755    60559.96    57217.28   117777.24
 1816   61      1755    58368.56    55194.31   113562.88
 1816   61      1754    57710.25    54520.50   112230.75
 1816   62      1754    55873.60    52826.54   108700.14
 1816   62      1753    54516.21    51513.95   106030.16
 1816   63      1753    53140.18    50235.12   103375.30
 1816   63      1752    51099.01    48313.95    99412.97
 1816   64      1752    50147.73    47385.48    97533.20
 1816   64      1751    47709.77    45132.42    92842.19
 1816   65      1751    47029.40    44387.63    91417.03
 1816   65      1750    45949.43    43074.83    89024.27
 1816   66      1750    44054.95    41408.33    85463.28
 1816   66      1749    42515.62    39859.82    82375.44
 1816   67      1749    40971.01    38429.75    79400.76
 1816   67      1748    39154.92    36699.07    75853.99
 1816   68      1748    37892.39    35465.69    73358.08
 1816   68      1747    35978.96    33700.70    69679.66
 1816   69      1747    34822.43    32536.71    67359.13
 1816   69      1746    33067.97    30945.51    64013.48
 1816   70      1746    31864.54    29748.53    61613.06
 1816   70      1745    30764.17    28971.32    59735.48
