Norway,  Exposures (Lexis triangle)	Last modified: 03 Apr 2023;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1846    0      1846     9613.00    10084.67    19697.67
 1846    0      1845     8899.17     9087.58    17986.75
 1846    1      1845     8570.33     8735.92    17306.25
 1846    1      1844     8024.00     8304.08    16328.08
 1846    2      1844     7888.00     8161.42    16049.42
 1846    2      1843     8169.25     8513.33    16682.58
 1846    3      1843     8025.75     8369.67    16395.42
 1846    3      1842     8757.42     8645.00    17402.42
 1846    4      1842     8568.58     8502.50    17071.08
 1846    4      1841     8161.67     8169.67    16331.33
 1846    5      1841     8018.83     8068.83    16087.67
 1846    5      1840     7258.00     7194.75    14452.75
 1846    6      1840     7172.50     7124.75    14297.25
 1846    6      1839     6704.08     6773.25    13477.33
 1846    7      1839     6641.92     6723.25    13365.17
 1846    7      1838     6758.00     6904.42    13662.42
 1846    8      1838     6711.00     6860.58    13571.58
 1846    8      1837     6825.33     6986.08    13811.42
 1846    9      1837     6795.67     6946.42    13742.08
 1846    9      1836     6869.25     6973.33    13842.58
 1846   10      1836     6872.75     6940.17    13812.92
 1846   10      1835     7403.33     7565.08    14968.42
 1846   11      1835     7424.17     7526.42    14950.58
 1846   11      1834     7025.92     7179.08    14205.00
 1846   12      1834     7079.58     7144.92    14224.50
 1846   12      1833     6631.58     6846.67    13478.25
 1846   13      1833     6699.92     6818.33    13518.25
 1846   13      1832     6284.17     6697.58    12981.75
 1846   14      1832     6350.83     6667.42    13018.25
 1846   14      1831     6388.08     6707.58    13095.67
 1846   15      1831     6451.42     6689.92    13141.33
 1846   15      1830     6618.08     6791.50    13409.58
 1846   16      1830     6685.92     6778.00    13463.92
 1846   16      1829     6727.42     6981.67    13709.08
 1846   17      1829     6786.08     6965.33    13751.42
 1846   17      1828     6345.17     6425.08    12770.25
 1846   18      1828     6390.83     6406.92    12797.75
 1846   18      1827     6317.75     6371.58    12689.33
 1846   19      1827     6346.75     6351.42    12698.17
 1846   19      1826     6809.17     6825.83    13635.00
 1846   20      1826     6810.33     6784.67    13595.00
 1846   20      1825     6767.08     6523.83    13290.92
 1846   21      1825     6730.92     6480.67    13211.58
 1846   21      1824     6406.08     6044.58    12450.67
 1846   22      1824     6352.92     6002.42    12355.33
 1846   22      1823     6595.25     6285.00    12880.25
 1846   23      1823     6521.25     6239.50    12760.75
 1846   23      1822     6379.75     6008.08    12387.83
 1846   24      1822     6293.75     5956.92    12250.67
 1846   24      1821     6605.00     6166.08    12771.08
 1846   25      1821     6505.50     6107.92    12613.42
 1846   25      1820     6192.00     5799.17    11991.17
 1846   26      1820     6093.50     5740.33    11833.83
 1846   26      1819     5801.75     5418.33    11220.08
 1846   27      1819     5705.75     5365.17    11070.92
 1846   27      1818     5378.08     5122.00    10500.08
 1846   28      1818     5287.92     5069.00    10356.92
 1846   28      1817     5542.00     5238.58    10780.58
 1846   29      1817     5451.00     5174.92    10625.92
 1846   29      1816     5763.25     5474.42    11237.67
 1846   30      1816     5668.75     5401.58    11070.33
 1846   30      1815     4797.42     4598.42     9395.83
 1846   31      1815     4735.58     4545.08     9280.67
 1846   31      1814     3706.42     3620.25     7326.67
 1846   32      1814     3662.58     3580.75     7243.33
 1846   32      1813     3880.08     3758.33     7638.42
 1846   33      1813     3834.42     3716.17     7550.58
 1846   33      1812     4263.00     4188.75     8451.75
