PopName,Area,Year,YearReg,YearInterval,Sex,Age,AgeInterval,Lexis,RefCode,Access,Deaths,NoteCode1,NoteCode2,NoteCode3,LDB
SWE,1,1751,1751,1,f,0,1,RR,21,O,5988,.,.,.,1
SWE,1,1751,1751,1,f,1,2,RR,21,O,2121,.,.,.,1
SWE,1,1751,1751,1,f,3,2,RR,21,O,1093,.,.,.,1
SWE,1,1751,1751,1,f,5,5,RR,21,O,932,.,.,.,1
SWE,1,1751,1751,1,f,10,5,RR,21,O,518,.,.,.,1
SWE,1,1751,1751,1,f,15,5,RR,21,O,481,.,.,.,1
SWE,1,1751,1751,1,f,20,5,RR,21,O,556,.,.,.,1
SWE,1,1751,1751,1,f,25,5,RR,21,O,663,.,.,.,1
SWE,1,1751,1751,1,f,30,5,RR,21,O,781,.,.,.,1
SWE,1,1751,1751,1,f,35,5,RR,21,O,639,.,.,.,1
SWE,1,1751,1751,1,f,40,5,RR,21,O,740,.,.,.,1
SWE,1,1751,1751,1,f,45,5,RR,21,O,606,.,.,.,1
SWE,1,1751,1751,1,f,50,5,RR,21,O,774,.,.,.,1
SWE,1,1751,1751,1,f,55,5,RR,21,O,821,.,.,.,1
SWE,1,1751,1751,1,f,60,5,RR,21,O,1323,.,.,.,1
SWE,1,1751,1751,1,f,65,5,RR,21,O,1396,.,.,.,1
SWE,1,1751,1751,1,f,70,5,RR,21,O,1527,.,.,.,1
SWE,1,1751,1751,1,f,75,5,RR,21,O,1052,.,.,.,1
SWE,1,1751,1751,1,f,80,5,RR,21,O,970,.,.,.,1
SWE,1,1751,1751,1,f,85,5,RR,21,O,488,.,.,.,1
SWE,1,1751,1751,1,f,90,+,RR,21,O,351,.,.,.,1
SWE,1,1751,1751,1,m,0,1,RR,21,O,6902,.,.,.,1
SWE,1,1751,1751,1,m,1,2,RR,21,O,2242,.,.,.,1
SWE,1,1751,1751,1,m,3,2,RR,21,O,1153,.,.,.,1
SWE,1,1751,1751,1,m,5,5,RR,21,O,1049,.,.,.,1
SWE,1,1751,1751,1,m,10,5,RR,21,O,574,.,.,.,1
SWE,1,1751,1751,1,m,15,5,RR,21,O,516,.,.,.,1
SWE,1,1751,1751,1,m,20,5,RR,21,O,595,.,.,.,1
SWE,1,1751,1751,1,m,25,5,RR,21,O,643,.,.,.,1
SWE,1,1751,1751,1,m,30,5,RR,21,O,677,.,.,.,1
SWE,1,1751,1751,1,m,35,5,RR,21,O,563,.,.,.,1
SWE,1,1751,1751,1,m,40,5,RR,21,O,686,.,.,.,1
SWE,1,1751,1751,1,m,45,5,RR,21,O,709,.,.,.,1
SWE,1,1751,1751,1,m,50,5,RR,21,O,821,.,.,.,1
SWE,1,1751,1751,1,m,55,5,RR,21,O,761,.,.,.,1
SWE,1,1751,1751,1,m,60,5,RR,21,O,1145,.,.,.,1
SWE,1,1751,1751,1,m,65,5,RR,21,O,1082,.,.,.,1
SWE,1,1751,1751,1,m,70,5,RR,21,O,1086,.,.,.,1
SWE,1,1751,1751,1,m,75,5,RR,21,O,724,.,.,.,1
SWE,1,1751,1751,1,m,80,5,RR,21,O,606,.,.,.,1
SWE,1,1751,1751,1,m,85,5,RR,21,O,331,.,.,.,1
SWE,1,1751,1751,1,m,90,+,RR,21,O,217,.,.,.,1
SWE,1,1752,1752,1,f,0,1,RR,21,O,6735,.,.,.,1
