Year,Sex,Age,AgeInterval,Lexis,Deaths
1751,f,0,1,RR,5988
1751,f,1,2,RR,2121
1751,f,3,2,RR,1093
1751,f,5,5,RR,932
1751,f,10,5,RR,518
1751,f,15,5,RR,481
1751,f,20,5,RR,556
1751,f,25,5,RR,663
1751,f,30,5,RR,781
1751,f,35,5,RR,639
1751,f,40,5,RR,740
1751,f,45,5,RR,606
1751,f,50,5,RR,774
1751,f,55,5,RR,821
1751,f,60,5,RR,1323
1751,f,65,5,RR,1396
1751,f,70,5,RR,1527
1751,f,75,5,RR,1052
1751,f,80,5,RR,970
1751,f,85,5,RR,488
1751,f,90,+,RR,351
1751,m,0,1,RR,6902
1751,m,1,2,RR,2242
1751,m,3,2,RR,1153
1751,m,5,5,RR,1049
1751,m,10,5,RR,574
1751,m,15,5,RR,516
1751,m,20,5,RR,595
1751,m,25,5,RR,643
1751,m,30,5,RR,677
1751,m,35,5,RR,563
1751,m,40,5,RR,686
1751,m,45,5,RR,709
1751,m,50,5,RR,821
1751,m,55,5,RR,761
1751,m,60,5,RR,1145
1751,m,65,5,RR,1082
1751,m,70,5,RR,1086
1751,m,75,5,RR,724
1751,m,80,5,RR,606
1751,m,85,5,RR,331
1751,m,90,+,RR,217
1752,f,0,1,RR,6735
1752,f,1,2,RR,3141
1752,f,3,2,RR,1518
1752,f,5,5,RR,1538
1752,f,10,5,RR,647
1752,f,15,5,RR,555
1752,f,20,5,RR,559
1752,f,25,5,RR,607
1752,f,30,5,RR,685
1752,f,35,5,RR,527
1752,f,40,5,RR,650
1752,f,45,5,RR,513
1752,f,50,5,RR,689
1752,f,55,5,RR,649
1752,f,60,5,RR,1173
1752,f,65,5,RR,1122
1752,f,70,5,RR,1303
1752,f,75,5,RR,898
1752,f,80,5,RR,786
1752,f,85,5,RR,384
1752,f,90,+,RR,215
1752,m,0,1,RR,7710
1752,m,1,2,RR,3311
1752,m,3,2,RR,1722
1752,m,5,5,RR,1624
1752,m,10,5,RR,634
1752,m,15,5,RR,550
1752,m,20,5,RR,614
1752,m,25,5,RR,580
1752,m,30,5,RR,576
1752,m,35,5,RR,536
1752,m,40,5,RR,609
1752,m,45,5,RR,570
1752,m,50,5,RR,713
1752,m,55,5,RR,668
1752,m,60,5,RR,870
1752,m,65,5,RR,885
1752,m,70,5,RR,948
1752,m,75,5,RR,596
1752,m,80,5,RR,462
1752,m,85,5,RR,248
1752,m,90,+,RR,147
1753,f,0,1,RR,5768
1753,f,1,2,RR,2322
1753,f,3,2,RR,1143
1753,f,5,5,RR,1122
1753,f,10,5,RR,513
1753,f,15,5,RR,458
1753,f,20,5,RR,498
1753,f,25,5,RR,601
1753,f,30,5,RR,666
1753,f,35,5,RR,482
1753,f,40,5,RR,677
1753,f,45,5,RR,514
1753,f,50,5,RR,692
1753,f,55,5,RR,625
1753,f,60,5,RR,1097
1753,f,65,5,RR,1145
1753,f,70,5,RR,1342
1753,f,75,5,RR,970
1753,f,80,5,RR,789
1753,f,85,5,RR,399
1753,f,90,+,RR,269
1753,m,0,1,RR,6740
1753,m,1,2,RR,2524
1753,m,3,2,RR,1235
1753,m,5,5,RR,1172
1753,m,10,5,RR,507
1753,m,15,5,RR,412
1753,m,20,5,RR,570
1753,m,25,5,RR,581
1753,m,30,5,RR,587
1753,m,35,5,RR,533
1753,m,40,5,RR,629
1753,m,45,5,RR,655
1753,m,50,5,RR,840
1753,m,55,5,RR,574
1753,m,60,5,RR,899
1753,m,65,5,RR,812
1753,m,70,5,RR,963
1753,m,75,5,RR,662
1753,m,80,5,RR,493
1753,m,85,5,RR,247
1753,m,90,+,RR,178
1754,f,0,1,RR,6558
1754,f,1,2,RR,2591
1754,f,3,2,RR,1363
1754,f,5,5,RR,1003
1754,f,10,5,RR,501
1754,f,15,5,RR,512
1754,f,20,5,RR,557
1754,f,25,5,RR,612
1754,f,30,5,RR,723
1754,f,35,5,RR,604
1754,f,40,5,RR,690
1754,f,45,5,RR,577
1754,f,50,5,RR,707
1754,f,55,5,RR,723
1754,f,60,5,RR,1141
1754,f,65,5,RR,1205
1754,f,70,5,RR,1592
1754,f,75,5,RR,1094
1754,f,80,5,RR,933
1754,f,85,5,RR,503
1754,f,90,+,RR,289
1754,m,0,1,RR,7577
1754,m,1,2,RR,2638
1754,m,3,2,RR,1224
1754,m,5,5,RR,1125
1754,m,10,5,RR,542
1754,m,15,5,RR,523
1754,m,20,5,RR,624
1754,m,25,5,RR,667
1754,m,30,5,RR,692
1754,m,35,5,RR,592
1754,m,40,5,RR,807
1754,m,45,5,RR,719
