The United States of America,  Exposures (Lexis triangle)	Last modified: 15 Mar 2023;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1933    0      1933   481092.86   499088.47   980181.33
 1933    0      1932   490088.46   504765.92   994854.38
 1933    1      1932   486180.15   497640.32   983820.47
 1933    1      1931   519593.71   531286.53  1050880.24
 1933    2      1931   531375.88   542169.53  1073545.41
 1933    2      1930   546173.71   558350.23  1104523.94
 1933    3      1930   548050.67   560934.40  1108985.08
 1933    3      1929   553743.32   567220.94  1120964.27
 1933    4      1929   553215.09   566585.88  1119800.97
 1933    4      1928   565112.00   589520.98  1154632.98
 1933    5      1928   571153.06   599084.22  1170237.28
 1933    5      1927   584289.49   613906.19  1198195.67
 1933    6      1927   584199.36   612501.98  1196701.33
 1933    6      1926   595193.93   619210.03  1214403.96
 1933    7      1926   594496.24   617822.30  1212318.53
 1933    7      1925   601763.66   622611.76  1224375.42
 1933    8      1925   601600.33   621689.16  1223289.50
 1933    8      1924   612010.98   627696.68  1239707.65
 1933    9      1924   611674.13   626754.59  1238428.72
 1933    9      1923   615364.02   627165.79  1242529.82
 1933   10      1923   615027.25   626462.13  1241489.38
 1933   10      1922   621688.92   631219.60  1252908.52
 1933   11      1922   622003.09   631077.27  1253080.37
 1933   11      1921   624813.32   633848.47  1258661.78
 1933   12      1921   623955.95   632365.74  1256321.69
 1933   12      1920   614036.05   622494.68  1236530.73
 1933   13      1920   613443.02   620731.80  1234174.81
 1933   13      1919   603044.06   609096.18  1212140.24
 1933   14      1919   602807.06   607450.81  1210257.87
 1933   14      1918   594251.04   598324.50  1192575.54
 1933   15      1918   594054.18   596446.83  1190501.02
 1933   15      1917   588081.58   590203.53  1178285.11
 1933   16      1917   587859.82   588076.99  1175936.81
 1933   16      1916   585151.10   584926.23  1170077.33
 1933   17      1916   584849.78   582737.82  1167587.60
 1933   17      1915   583430.01   580733.75  1164163.76
 1933   18      1915   583004.57   578634.85  1161639.42
 1933   18      1914   581097.46   576086.85  1157184.31
 1933   19      1914   580549.00   574107.75  1154656.75
 1933   19      1913   577952.89   570768.08  1148720.97
