Year,Age,AgeInterval,Sex,Cohort_Deaths,country,TL_Deaths,TU_Deaths_Next_Year,Cohort
1907,0,1,f,46010.08652086717,fra,34470.08652086717,11540,1907
1908,0,1,f,47044,fra,35457,11587,1908
1909,0,1,f,40853,fra,30303,10550,1909
1910,0,1,f,43770,fra,29333,14437,1910
1911,0,1,f,50113,fra,40060,10053,1911
1912,0,1,f,37576,fra,26407,11169,1912
1913,0,1,f,35682.322514049774,fra,27912,7770.322514049776,1913
1914,0,1,f,31469.024822990723,fra,22642.93981507272,8826.085007918002,1914
1915,0,1,f,21260.834732271498,fra,16563.036126473657,4697.7986057978405,1915
1916,0,1,f,18777.30162577407,fra,13700.328997704668,5076.972628069402,1916
1917,0,1,f,20624.626654375337,fra,14789.833382833383,5834.793271541955,1917
1918,0,1,f,26371.83884801028,fra,20054.726547987535,6317.112300022746,1918
1919,0,1,f,27625.466034625828,fra,16788.450744938964,10837.015289686864,1919
1920,0,1,f,38955.625888626455,fra,27358.6122566204,11597.013632006054,1920
1921,0,1,f,40809.71185926081,fra,32145.8096907184,8663.90216854241,1921
1922,0,1,f,31036.364153702354,fra,21523.725555860554,9512.6385978418,1922
1923,0,1,f,32722.79447074679,fra,24236.627041494536,8486.167429252257,1923
1924,0,1,f,29886.46966364565,fra,20740.853287900212,9145.61637574544,1924
1925,0,1,f,31558.821007307197,fra,22153.4930514503,9405.327955856897,1925
1926,0,1,f,33464.09319702445,fra,24684.860740284068,8779.232456740381,1926
1927,0,1,f,29001.675891508414,fra,20033.530448328973,8968.14544317944,1927
1928,0,1,f,32236.522209928757,fra,22527.36534327645,9709.156866652305,1928
1929,0,1,f,30124.527860149377,fra,22337.360895088324,7787.166965061055,1929
1930,0,1,f,28100.904391869706,fra,19500.418109501807,8600.4862823679,1930
1931,0,1,f,24644.416345349233,fra,16844.911032403787,7799.505312945445,1931
1932,0,1,f,24730.461362776427,fra,17549.136970325257,7181.324392451171,1932
1933,0,1,f,22643.044679428305,fra,16292.735970173302,6350.308709255005,1933
1934,0,1,f,21400.878517190173,fra,15162.737110192817,6238.141406997357,1934
