adec;sexe;age_atteint;age_revolu;nbdec
2005;1;0;0;1338
2005;1;1;0;226
2005;1;1;1;58
2005;1;2;1;67
2005;1;2;2;44
2005;1;3;2;38
2005;1;3;3;26
2005;1;4;3;33
2005;1;4;4;24
2005;1;5;4;29
2005;1;5;5;33
2005;1;6;5;14
2005;1;6;6;27
2005;1;7;6;18
2005;1;7;7;25
2005;1;8;7;19
2005;1;8;8;17
2005;1;9;8;22
2005;1;9;9;15
2005;1;10;9;16
2005;1;10;10;11
2005;1;11;10;23
2005;1;11;11;20
2005;1;12;11;22
2005;1;12;12;17
2005;1;13;12;21
2005;1;13;13;24
2005;1;14;13;28
2005;1;14;14;26
2005;1;15;14;39
2005;1;15;15;53
2005;1;16;15;57
2005;1;16;16;92
2005;1;17;16;76
2005;1;17;17;102
2005;1;18;17;100
2005;1;18;18;138
2005;1;19;18;142
2005;1;19;19;151
2005;1;20;19;165
2005;1;20;20;154
2005;1;21;20;171
2005;1;21;21;157
2005;1;22;21;147
2005;1;22;22;173
2005;1;23;22;162
2005;1;23;23;192
2005;1;24;23;199
2005;1;24;24;174
2005;1;25;24;183
2005;1;25;25;161
2005;1;26;25;179
2005;1;26;26;181
2005;1;27;26;160
2005;1;27;27;158
2005;1;28;27;143
2005;1;28;28;174
2005;1;29;28;139
2005;1;29;29;153
2005;1;30;29;176
2005;1;30;30;187
2005;1;31;30;193
2005;1;31;31;218
2005;1;32;31;218
2005;1;32;32;232
2005;1;33;32;226
2005;1;33;33;243
2005;1;34;33;242
2005;1;34;34;255
2005;1;35;34;284
2005;1;35;35;257
2005;1;36;35;252
2005;1;36;36;306
2005;1;37;36;319
2005;1;37;37;310
2005;1;38;37;299
2005;1;38;38;343
2005;1;39;38;357
2005;1;39;39;369
2005;1;40;39;397
2005;1;40;40;456
2005;1;41;40;463
2005;1;41;41;465
2005;1;42;41;478
2005;1;42;42;485
2005;1;43;42;505
2005;1;43;43;520
2005;1;44;43;527
2005;1;44;44;656
2005;1;45;44;649
2005;1;45;45;698
2005;1;46;45;727
2005;1;46;46;745
2005;1;47;46;794
2005;1;47;47;866
2005;1;48;47;868
2005;1;48;48;986
2005;1;49;48;959
2005;1;49;49;1032
2005;1;50;49;1114
2005;1;50;50;1181
2005;1;51;50;1158
2005;1;51;51;1220
2005;1;52;51;1160
2005;1;52;52;1293
2005;1;53;52;1230
2005;1;53;53;1409
2005;1;54;53;1357
2005;1;54;54;1472
2005;1;55;54;1520
2005;1;55;55;1636
2005;1;56;55;1562
2005;1;56;56;1744
2005;1;57;56;1683
2005;1;57;57;1877
2005;1;58;57;1829
2005;1;58;58;2005
2005;1;59;58;1858
2005;1;59;59;1994
2005;1;60;59;1505
2005;1;60;60;1561
2005;1;61;60;1583
2005;1;61;61;1617
2005;1;62;61;1587
2005;1;62;62;1683
2005;1;63;62;1594
2005;1;63;63;1679
2005;1;64;63;1548
2005;1;64;64;1526
2005;1;65;64;1636
2005;1;65;65;1890
2005;1;66;65;1946
2005;1;66;66;1975
2005;1;67;66;2041
2005;1;67;67;2106
2005;1;68;67;2113
2005;1;68;68;2247
2005;1;69;68;2304
2005;1;69;69;2519
2005;1;70;69;2471
2005;1;70;70;2549
2005;1;71;70;2648
2005;1;71;71;2949
2005;1;72;71;2966
2005;1;72;72;3111
2005;1;73;72;3193
