Year,Age,Sex,Deaths,TL_Deaths,TU_Deaths_Next_Year,Cohort,Population,TL_Deaths_Prev_Year,TU_Deaths_Same_Year,Exposure
1953,80,f,8870.963987395626,4179.00539284438,4691.958594551245,1873,92584.69170950435,4273.465660029238,5756.384881718383,92090.38530227463
1953,80,m,6949.541168018488,3344.804699299092,3604.736468719396,1873,55182.63814492827,3491.1973673928,4525.088654195302,54838.00771599411
1954,80,f,9114.950433741382,4212.860712054966,4902.089721686415,1874,96882.893851230765,4179.00539284438,4691.958594551245,96711.90945066181
1954,80,m,7255.552228370541,3371.6888557306006,3883.8633726399407,1874,57784.28997506622,3344.804699299092,3604.736468719396,57697.646051926116
1955,80,f,9667.003673473266,4515.003673473266,5152,1875,99226.00367347326,4212.860712054966,4902.089721686415,98996.26067026277
1955,80,m,7781.80889767296,3638.80889767296,4143,1875,58730.80889767296,3371.6888557306006,3883.8633726399407,58560.084058703185
1956,80,f,9431,4776,4655,1876,102986,4515.003673473266,5152,102773.66789115776
1956,80,m,7397,3719,3678,1876,59937,3638.80889767296,4143,59768.93629922432
1957,80,f,9429,4659,4770,1877,104068,4776,4655,104108.33333333333
1957,80,m,7271,3719,3552,1877,59882,3719,3678,59895.666666666664
1958,80,f,9295,4465,4830,1878,104850,4659,4770,104813
1958,80,m,6980,3444,3536,1878,58520,3719,3552,58575.666666666664
1959,80,f,9382,4459,4923,1879,107105,4465,4830,106983.33333333333
1959,80,m,7212,3382,3830,1879,59446,3444,3536,59415.333333333336
1960,80,f,8706,4477,4229,1880,106469,4459,4923,106314.33333333333
1960,80,m,6225,3113,3112,1880,56440,3382,3830,56290.666666666664
1961,80,f,9692,4427,5265,1881,112147,4477,4229,112229.66666666667
1961,80,m,7056,3296,3760,1881,59208,3113,3112,59208.333333333336
1962,80,f,10332,4744,5588,1882,115475,4427,5265,115195.66666666667
1962,80,m,7313,3428,3885,1882,58985,3296,3760,58830.333333333336
1963,80,f,9488,4746,4742,1883,115337,4744,5588,115055.66666666667
1963,80,m,6688,3420,3268,1883,58926,3428,3885,58773.666666666664
1964,80,f,9968,4639,5329,1884,119246,4746,4742,119247.33333333333
1964,80,m,7048,3389,3659,1884,60367,3420,3268,60417.666666666664
1965,80,f,9698,4808,4890,1885,121549,4639,5329,121319
1965,80,m,6789,3454,3335,1885,61315,3389,3659,61225
1966,80,f,9621,4689,4932,1886,121413,4808,4890,121385.66666666667
1966,80,m,6811,3298,3513,1886,60675,3454,3335,60714.666666666664
1967,80,f,10105,4758,5347,1887,125921,4689,4932,125840
1967,80,m,7202,3449,3753,1887,62203,3298,3513,62131.333333333336
1968,80,f,9902,4855,5047,1888,127412,4758,5347,127215.66666666667
1968,80,m,6808,3419,3389,1888,62317,3449,3753,62215.666666666664
1969,80,f,10348,5199,5149,1889,129859,4855,5047,129795
1969,80,m,7210,3713,3497,1889,62746,3419,3389,62756
1970,80,f,9383,4575,4808,1890,126761,5199,5149,126777.66666666667
1970,80,m,6564,3300,3264,1890,60167,3713,3497,60239
1971,80,f,9945,5042,4903,1891,134440,4575,4808,134362.33333333334
1971,80,m,6949,3612,3337,1891,62884,3300,3264,62896
1972,80,f,9839,4690,5149,1892,133565,5042,4903,133611.33333333334
1972,80,m,6768,3286,3482,1892,60517,3612,3337,60608.666666666664
1973,80,f,9983,4963,5020,1893,142093,4690,5149,141940
1973,80,m,6586,3315,3271,1893,63289,3286,3482,63223.666666666664
1974,80,f,10558,5235,5323,1894,144243,4963,5020,144224
1974,80,m,6959,3522,3437,1894,63486,3315,3271,63500.666666666664
1975,80,f,9990,5005,4985,1895,142362,5235,5323,142332.66666666666
1975,80,m,6817,3450,3367,1895,63006,3522,3437,63034.333333333336
1976,80,f,10095,5076,5019,1896,153946,5005,4985,153952.66666666666
1976,80,m,7556,3875,3681,1896,73764,3450,3367,73791.66666666667
1977,80,f,10309,4983,5326,1897,154909,5076,5019,154928
1977,80,m,8057,3913,4144,1897,77106,3875,3681,77170.66666666667
1978,80,f,9842,4903,4939,1898,154164,4983,5326,154049.66666666666
1978,80,m,8215,4066,4149,1898,79808,3913,4144,79731
1979,80,f,10078,4927,5151,1899,160451,4903,4939,160439
1979,80,m,8758,4340,4418,1899,85834,4066,4149,85806.33333333333
1980,80,f,10378,5047,5331,1900,162795,4927,5151,162720.33333333334
1980,80,m,9210,4533,4677,1900,88119,4340,4418,88093
1981,80,f,10510,5304,5206,1901,174837,5047,5331,174742.33333333334
1981,80,m,9332,4799,4533,1901,94085,4533,4677,94037
1982,80,f,10763,5243,5520,1902,177412,5304,5206,177444.66666666666
