IDL_ID;AGEYEARS;DAYSSINCEBD;AGEDAYS;SEX;BIRTH_DAY;BIRTH_MONTH;BIRTH_YEAR;DEATH_DAY;DEATH_MONTH;DEATH_YEAR;BIRTH_COUNTRY;BIRTH_LOCALITY;DEATH_COUNTRY;DEATH_LOCALITY;VALIDATION
DNK21863197000001;106;201;38917;M;1;9;1863;21;3;1970;DNK;;DNK;;EXHAUSTIVE
DNK21867197600002;109;156;39968;M;10;4;1867;13;9;1976;DNK;;DNK;;EXHAUSTIVE
DNK21870197500003;105;145;38495;M;26;1;1870;20;6;1975;DNK;;DNK;;EXHAUSTIVE
DNK21874198000004;105;116;38466;M;10;12;1874;4;4;1980;DNK;;DNK;;EXHAUSTIVE
DNK21876198200005;105;192;38542;M;15;9;1876;26;3;1982;DNK;;DNK;;EXHAUSTIVE
DNK21878198300006;105;5;38355;M;22;6;1878;27;6;1983;DNK;;DNK;;EXHAUSTIVE
DNK21879198500007;106;148;38864;M;4;7;1879;29;11;1985;DNK;;DNK;;EXHAUSTIVE
DNK21879198800008;108;305;39751;M;28;7;1879;28;5;1988;DNK;;DNK;;EXHAUSTIVE
DNK21880198600009;105;136;38486;M;24;10;1880;9;3;1986;DNK;;DNK;;EXHAUSTIVE
DNK21883198900010;105;234;38585;M;11;9;1883;3;5;1989;DNK;;DNK;;EXHAUSTIVE
DNK21883198900011;105;323;38674;M;14;10;1883;2;9;1989;DNK;;DNK;;EXHAUSTIVE
DNK21883199100012;108;17;39463;M;19;11;1883;6;12;1991;DNK;;DNK;;EXHAUSTIVE
DNK21884198900013;105;46;38396;M;4;7;1884;19;8;1989;DNK;;DNK;;EXHAUSTIVE
DNK21886199200014;105;282;38632;M;8;12;1886;15;9;1992;DNK;;DNK;;EXHAUSTIVE
DNK21887199200015;105;147;38498;M;30;3;1887;24;8;1992;DNK;;DNK;;EXHAUSTIVE
DNK21888199300016;105;58;38409;M;26;1;1888;25;3;1993;DNK;;DNK;;EXHAUSTIVE
DNK21888199500017;107;7;39087;M;24;9;1888;1;10;1995;DNK;;DNK;;EXHAUSTIVE
DNK21889199500018;106;198;38913;M;11;4;1889;26;10;1995;DNK;;DNK;;EXHAUSTIVE
DNK21889199400019;105;178;38528;M;6;5;1889;31;10;1994;DNK;;DNK;;EXHAUSTIVE
DNK21889199400020;105;163;38513;M;3;6;1889;13;11;1994;DNK;;DNK;;EXHAUSTIVE
DNK21890199500021;105;297;38647;M;16;1;1890;9;11;1995;DNK;;DNK;;EXHAUSTIVE
DNK21890199500022;105;94;38444;M;13;3;1890;15;6;1995;DNK;;DNK;;EXHAUSTIVE
DNK21890199600023;105;289;38639;M;14;6;1890;29;3;1996;DNK;;DNK;;EXHAUSTIVE
DNK21890199900024;108;97;39543;M;12;10;1890;17;1;1999;DNK;;DNK;;EXHAUSTIVE
DNK21891199800025;106;302;39018;M;19;4;1891;15;2;1998;DNK;;DNK;;EXHAUSTIVE
DNK21892199700026;105;299;38649;M;3;3;1892;27;12;1997;DNK;;DNK;;EXHAUSTIVE
DNK21892199800027;106;8;38723;M;22;7;1892;30;7;1998;DNK;;DNK;;EXHAUSTIVE
DNK21892200000028;107;88;39168;M;4;12;1892;1;3;2000;DNK;;DNK;;EXHAUSTIVE
DNK21893199800029;105;12;38362;M;7;1;1893;19;1;1998;DNK;;DNK;;EXHAUSTIVE
DNK21893199900030;105;237;38587;M;4;12;1893;29;7;1999;DNK;;DNK;;EXHAUSTIVE
DNK21895200200031;106;201;38917;M;11;7;1895;28;1;2002;DNK;;DNK;;EXHAUSTIVE
DNK21895200100032;105;150;38501;M;25;9;1895;22;2;2001;DNK;;DNK;;EXHAUSTIVE
DNK21895200000033;105;42;38393;M;11;11;1895;23;12;2000;DNK;;DNK;;EXHAUSTIVE
DNK21895200100034;105;141;38492;M;17;11;1895;7;4;2001;DNK;;DNK;;EXHAUSTIVE
DNK21897200200035;105;113;38463;M;30;1;1897;23;5;2002;DNK;;DNK;;EXHAUSTIVE
DNK21898200400036;105;357;38707;M;1;8;1898;23;7;2004;DNK;;DNK;;EXHAUSTIVE
DNK21899200600037;107;157;39238;M;27;3;1899;31;8;2006;DNK;;DNK;;EXHAUSTIVE
DNK21900200600038;106;62;38778;M;10;1;1900;13;3;2006;DNK;;DNK;;EXHAUSTIVE
DNK21901200700039;106;237;38953;M;24;3;1901;16;11;2007;DNK;;DNK;;EXHAUSTIVE
DNK21901200900040;107;183;39265;M;29;9;1901;31;3;2009;DNK;;DNK;;EXHAUSTIVE
DNK21902200900041;106;333;39050;M;9;5;1902;7;4;2009;DNK;;DNK;;EXHAUSTIVE
DNK21902200700042;105;132;38483;M;31;7;1902;10;12;2007;DNK;;DNK;;EXHAUSTIVE
DNK21902200800043;105;162;38513;M;22;11;1902;2;5;2008;DNK;;DNK;;EXHAUSTIVE
DNK21903200900044;106;72;38789;M;17;4;1903;28;6;2009;DNK;;DNK;;EXHAUSTIVE
DNK21904201000045;105;344;38695;M;11;6;1904;21;5;2010;DNK;;DNK;;EXHAUSTIVE
DNK21904201000046;105;170;38521;M;7;8;1904;24;1;2010;DNK;;DNK;;EXHAUSTIVE
DNK21904201100047;106;289;39005;M;18;9;1904;4;7;2011;DNK;;DNK;;EXHAUSTIVE
DNK21904201300048;108;69;39516;M;29;11;1904;6;2;2013;DNK;;DNK;;EXHAUSTIVE
DNK21905201000049;105;181;38532;M;12;3;1905;9;9;2010;DNK;;DNK;;EXHAUSTIVE
DNK21905201200050;106;216;38932;M;21;8;1905;24;3;2012;DNK;;DNK;;EXHAUSTIVE
DNK21906201200051;105;56;38407;M;9;12;1906;3;2;2012;DNK;;DNK;;EXHAUSTIVE
DNK21906201200052;105;162;38513;M;29;12;1906;8;6;2012;DNK;;DNK;;EXHAUSTIVE
DNK21907201300053;105;244;38596;M;19;5;1907;18;1;2013;DNK;;DNK;;EXHAUSTIVE
DNK21907201300054;106;1;38718;M;5;7;1907;6;7;2013;DNK;;DNK;;EXHAUSTIVE
DNK21907201300055;105;343;38695;M;3;9;1907;12;8;2013;DNK;;DNK;;EXHAUSTIVE
DNK21908201300056;105;208;38560;M;11;2;1908;7;9;2013;DNK;;DNK;;EXHAUSTIVE
DNK21908201400057;106;99;38815;M;20;4;1908;28;7;2014;DNK;;DNK;;EXHAUSTIVE
DNK21908201400058;105;263;38614;M;4;7;1908;24;3;2014;DNK;;DNK;;EXHAUSTIVE
DNK21908201300059;105;32;38383;M;16;8;1908;17;9;2013;DNK;;DNK;;EXHAUSTIVE
DNK21908201400060;105;262;38613;M;14;10;1908;3;7;2014;DNK;;DNK;;EXHAUSTIVE
DNK21908201400061;105;89;38440;M;22;10;1908;19;1;2014;DNK;;DNK;;EXHAUSTIVE
DNK21908201300062;105;2;38353;M;15;11;1908;17;11;2013;DNK;;DNK;;EXHAUSTIVE
DNK21908201400063;105;114;38465;M;31;12;1908;24;4;2014;DNK;;DNK;;EXHAUSTIVE
DNK21864197200064;107;341;39421;F;9;3;1864;13;2;1972;DNK;;DNK;;EXHAUSTIVE
DNK21865197000065;105;47;38397;F;22;1;1865;10;3;1970;DNK;;DNK;;EXHAUSTIVE
DNK21865197100066;105;354;38704;F;2;2;1865;22;1;1971;DNK;;DNK;;EXHAUSTIVE
DNK21866197100067;105;229;38579;F;11;1;1866;28;8;1971;DNK;;DNK;;EXHAUSTIVE
DNK21867197500068;108;28;39474;F;18;1;1867;15;2;1975;DNK;;DNK;;EXHAUSTIVE
DNK21867197400069;106;329;39045;F;23;9;1867;18;8;1974;DNK;;DNK;;EXHAUSTIVE
DNK21869197600070;106;360;39075;F;12;12;1869;6;12;1976;DNK;;DNK;;EXHAUSTIVE
DNK21870197700071;107;72;39153;F;31;3;1870;11;6;1977;DNK;;DNK;;EXHAUSTIVE
DNK21870197600072;105;349;38699;F;29;5;1870;12;5;1976;DNK;;DNK;;EXHAUSTIVE
DNK21871197600073;105;141;38491;F;23;1;1871;12;6;1976;DNK;;DNK;;EXHAUSTIVE
DNK21871197600074;105;196;38546;F;28;1;1871;11;8;1976;DNK;;DNK;;EXHAUSTIVE
DNK21872197700075;105;45;38396;F;13;1;1872;27;2;1977;DNK;;DNK;;EXHAUSTIVE
DNK21872197800076;105;361;38711;F;25;5;1872;21;5;1978;DNK;;DNK;;EXHAUSTIVE
DNK21873197800077;105;140;38490;F;5;3;1873;23;7;1978;DNK;;DNK;;EXHAUSTIVE
DNK21873198100078;107;127;39208;F;16;12;1873;22;4;1981;DNK;;DNK;;EXHAUSTIVE
DNK21874197900079;105;51;38401;F;20;2;1874;12;4;1979;DNK;;DNK;;EXHAUSTIVE
DNK21875198300080;108;286;39732;F;19;3;1875;30;12;1983;DNK;;DNK;;EXHAUSTIVE
DNK21875198100081;106;114;38830;F;18;5;1875;9;9;1981;DNK;;DNK;;EXHAUSTIVE
DNK21875198200082;106;181;38897;F;23;10;1875;22;4;1982;DNK;;DNK;;EXHAUSTIVE
DNK21875198200083;106;137;38853;F;4;12;1875;20;4;1982;DNK;;DNK;;EXHAUSTIVE
DNK21876198200084;105;354;38705;F;15;1;1876;4;1;1982;DNK;;DNK;;EXHAUSTIVE
DNK21876198100085;105;123;38473;F;29;8;1876;30;12;1981;DNK;;DNK;;EXHAUSTIVE
