COUNTRY;IDL_ID;AGEYEARS;DAYSSINCEBD;AGEDAYS;SEX;BIRTH_DAY;BIRTH_MONTH;BIRTH_YEAR;DEATH_DAY;DEATH_MONTH;DEATH_YEAR;BIRTH_COUNTRY;BIRTH_LOCALITY;DEATH_COUNTRY;DEATH_LOCALITY;VALIDATION
FRA;FRA1873197800001;105;28;38378;F;22;3;1873;19;4;1978;FRA;FRY20;FRA;FRY20;SAMPLE OUT
FRA;FRA1870197900002;109;196;40007;F;25;3;1870;7;10;1979;FRA;FRY20;FRA;FRY20;SAMPLE OUT
FRA;FRA1876198200003;105;126;38476;F;16;10;1876;19;2;1982;FRA;FRJ22;FRA;FRJ13;SAMPLE OUT
FRA;FRA1878198300005;105;218;38568;F;1;4;1878;5;11;1983;FRA;FRK26;FRA;FRK26;SAMPLE OUT
FRA;FRA1877198300004;105;174;38524;F;18;12;1877;10;6;1983;FRA;FRK11;FRA;FRK11;SAMPLE OUT
FRA;FRA1877198300006;105;74;38424;F;30;12;1877;14;3;1983;FRA;FRK26;FRA;FRK13;SAMPLE OUT
FRA;FRA1876198300007;106;149;38864;M;5;10;1876;3;3;1983;FRA;FRF34;FRA;FR101;SAMPLE OUT
FRA;FRA1879198400009;105;6;38357;F;5;3;1879;11;3;1984;FRA;FR108;FRA;FR106;SAMPLE OUT
FRA;FRA1878198400008;105;263;38613;F;21;8;1878;10;5;1984;FRA;FRY10;FRA;FRK23;SAMPLE OUT
FRA;FRA1877198400010;106;189;38904;F;4;10;1877;10;4;1984;FRA;FRJ26;FRA;FRJ26;SAMPLE OUT
FRA;FRA1880198500011;105;104;38455;F;17;2;1880;1;6;1985;FRA;FRD21;FRA;FRK26;SAMPLE OUT
FRA;FRA1878198500012;106;352;39068;F;16;3;1878;3;3;1985;FRA;FRY10;FRA;FRY10;SAMPLE OUT
FRA;FRA1877198500013;107;189;39270;F;10;7;1877;15;1;1985;FRA;FRD11;FRA;FRD11;SAMPLE OUT
FRA;FRA1876198500014;108;127;39573;F;27;10;1876;3;3;1985;FRA;FRY20;FRA;FRY30;SAMPLE OUT
FRA;FRA1876198500015;109;29;39840;F;19;10;1876;17;11;1985;FRA;FRJ25;FRA;FRE22;SAMPLE OUT
FRA;FRA1879198500016;105;312;38663;M;2;7;1879;10;5;1985;FRA;FRB06;FRA;FR106;SAMPLE OUT
FRA;FRA1880198600023;105;154;38504;F;6;12;1880;9;5;1986;FRA;FRI34;FRA;FRI34;SAMPLE OUT
FRA;FRA1881198600019;105;181;38531;F;23;2;1881;23;8;1986;FRA;FRK24;FRA;FRC23;SAMPLE OUT
FRA;FRA1881198600018;105;286;38636;F;13;2;1881;26;11;1986;FRA;FRD13;FRA;FR101;SAMPLE OUT
FRA;FRA1881198600027;105;70;38420;F;4;3;1881;13;5;1986;FRA;FRF21;FRA;FRF21;SAMPLE OUT
FRA;FRA1880198600017;105;196;38546;F;20;11;1880;4;6;1986;FRA;FRD11;FRA;FR101;SAMPLE OUT
FRA;FRA1881198600021;105;169;38519;F;23;5;1881;8;11;1986;FRA;FRE12;FRA;FRB05;SAMPLE OUT
FRA;FRA1881198600028;105;63;38413;F;9;7;1881;10;9;1986;FRA;FRK11;FRA;FRK26;SAMPLE OUT
FRA;FRA1881198600025;105;124;38474;F;2;4;1881;4;8;1986;FRA;FRY20;FRA;FRY20;SAMPLE OUT
FRA;FRA1881198600022;105;228;38578;F;23;1;1881;8;9;1986;FRA;FRK13;FRA;FRK13;SAMPLE OUT
FRA;FRA1881198600026;105;94;38444;F;29;6;1881;1;10;1986;FRA;FRI15;FRA;FRI15;SAMPLE OUT
FRA;FRA1881198600020;105;225;38575;F;4;5;1881;15;12;1986;FRA;FRD22;FRA;FRD22;SAMPLE OUT
FRA;FRA1881198600024;105;205;38555;F;9;4;1881;31;10;1986;FRA;FR101;FRA;FR101;SAMPLE OUT
FRA;FRA1880198600030;106;86;38801;F;18;8;1880;12;11;1986;FRA;FRI12;FRA;FRI11;SAMPLE OUT
FRA;FRA1880198600035;106;16;38731;F;27;11;1880;13;12;1986;FRA;FRI21;FRA;FRI21;SAMPLE OUT
FRA;FRA1879198600029;106;311;39027;F;4;10;1879;11;8;1986;FRA;FRI22;FRA;FRK14;SAMPLE OUT
FRA;FRA1880198600032;106;274;38990;F;27;2;1880;28;11;1986;FRA;FRI11;FRA;FRJ11;SAMPLE OUT
FRA;FRA1879198600031;106;248;38964;F;30;8;1879;5;5;1986;FRA;FRE22;FRA;FR105;SAMPLE OUT
FRA;FRA1879198600034;106;297;39013;F;12;9;1879;6;7;1986;FRA;FRE22;FRA;FRE22;SAMPLE OUT
FRA;FRA1880198600033;106;164;38880;F;20;1;1880;3;7;1986;FRA;FRE12;FRA;FRE12;SAMPLE OUT
FRA;FRA1879198600036;107;324;39405;F;30;1;1879;20;12;1986;FRA;FRJ22;FRA;FRI14;SAMPLE OUT
FRA;FRA1878198600038;108;2;39448;F;11;5;1878;13;5;1986;FRA;FRE11;FRA;FRE11;SAMPLE OUT
FRA;FRA1877198600037;108;188;39634;F;30;6;1877;4;1;1986;FRA;FRI11;FRA;FRI11;SAMPLE OUT
FRA;FRA1881198600039;105;11;38361;M;25;10;1881;5;11;1986;FRA;FR102;FRA;FRB02;SAMPLE OUT
FRA;FRA1881198600040;105;142;38492;M;5;7;1881;24;11;1986;FRA;FRC12;FRA;FRC12;SAMPLE OUT
FRA;FRA1879198600041;107;125;39206;M;14;1;1879;19;5;1986;FRA;FRE11;FRA;FRE11;SAMPLE OUT
FRA;FRA1881198700051;105;178;38528;F;10;12;1881;6;6;1987;FRA;FRY10;FRA;FRY10;SAMPLE OUT
FRA;FRA1882198700044;105;249;38599;F;26;4;1882;31;12;1987;FRA;FRB01;FRA;FRB01;SAMPLE OUT
FRA;FRA1881198700056;105;68;38418;F;27;10;1881;3;1;1987;FRA;FR108;FRA;FR108;SAMPLE OUT
