IDL_ID;AGEYEARS;DAYSSINCEBD;AGEDAYS;SEX;BIRTH_DAY;BIRTH_MONTH;BIRTH_YEAR;DEATH_DAY;DEATH_MONTH;DEATH_YEAR;BIRTH_COUNTRY;BIRTH_LOCALITY;DEATH_COUNTRY;DEATH_LOCALITY;VALIDATION
NOR21877198600001;108;72;39518;M;30;10;1877;10;1;1986;NOR;;NOR;;EXHAUSTIVE
NOR21878198700002;109;81;39892;M;13;8;1878;2;11;1987;NOR;;NOR;;EXHAUSTIVE
NOR21880198600003;105;353;38704;M;13;2;1880;1;2;1986;NOR;;NOR;;EXHAUSTIVE
NOR21882198900004;107;269;39350;M;25;3;1882;19;12;1989;NOR;;NOR;;EXHAUSTIVE
NOR21882198900005;107;192;39273;M;20;4;1882;29;10;1989;NOR;;NOR;;EXHAUSTIVE
NOR21882198700006;105;76;38426;M;25;9;1882;10;12;1987;NOR;;NOR;;EXHAUSTIVE
NOR21884199000007;106;152;38868;M;11;1;1884;12;6;1990;NOR;;NOR;;EXHAUSTIVE
NOR21884198900008;105;295;38645;M;8;3;1884;28;12;1989;;;NOR;;EXHAUSTIVE
NOR21885199000009;105;174;38524;M;10;2;1885;3;8;1990;NOR;;NOR;;EXHAUSTIVE
NOR21885199200010;107;58;39139;M;22;8;1885;19;10;1992;NOR;;NOR;;EXHAUSTIVE
NOR21886199100011;105;27;38377;M;21;10;1886;17;11;1991;NOR;;NOR;;EXHAUSTIVE
NOR21887199400012;106;295;39011;M;8;6;1887;30;3;1994;NOR;;NOR;;EXHAUSTIVE
NOR21888199300013;105;135;38485;M;28;6;1888;10;11;1993;NOR;;NOR;;EXHAUSTIVE
NOR21888199500014;106;185;38900;M;19;10;1888;22;4;1995;NOR;;NOR;;EXHAUSTIVE
NOR21889199400015;105;176;38526;M;2;2;1889;28;7;1994;NOR;;NOR;;EXHAUSTIVE
NOR21889199800016;108;335;39781;M;15;2;1889;16;1;1998;NOR;;NOR;;EXHAUSTIVE
NOR21889199400017;105;85;38435;M;30;8;1889;23;11;1994;NOR;;NOR;;EXHAUSTIVE
NOR21889199400018;105;16;38366;M;2;9;1889;18;9;1994;NOR;;NOR;;EXHAUSTIVE
NOR21889199400019;105;54;38404;M;20;9;1889;13;11;1994;NOR;;NOR;;EXHAUSTIVE
NOR21889199800020;108;190;39636;M;4;12;1889;12;6;1998;NOR;;NOR;;EXHAUSTIVE
NOR21892199900021;106;340;39055;M;26;5;1892;1;5;1999;NOR;;NOR;;EXHAUSTIVE
NOR21892200000022;107;325;39405;M;21;9;1892;11;8;2000;;;NOR;;EXHAUSTIVE
NOR11892200300023;110;185;40361;M;23;10;1892;26;4;2003;NOR;;NOR;;EXHAUSTIVE
NOR21893199900024;106;164;38879;M;16;4;1893;27;9;1999;NOR;;NOR;;EXHAUSTIVE
NOR21893200000025;107;154;39235;M;19;5;1893;20;10;2000;;;NOR;;EXHAUSTIVE
NOR21893199900026;105;312;38662;M;28;6;1893;6;5;1999;NOR;;NOR;;EXHAUSTIVE
NOR21893200000027;106;83;38798;M;25;12;1893;17;3;2000;NOR;;NOR;;EXHAUSTIVE
NOR21894200000028;106;14;38729;M;7;1;1894;21;1;2000;NOR;;NOR;;EXHAUSTIVE
NOR21894199900029;105;183;38533;M;3;4;1894;3;10;1999;NOR;;NOR;;EXHAUSTIVE
NOR21894199900030;105;137;38487;M;5;7;1894;19;11;1999;NOR;;NOR;;EXHAUSTIVE
NOR21894199900031;105;35;38385;M;29;7;1894;2;9;1999;NOR;;NOR;;EXHAUSTIVE
NOR21895200000032;105;294;38644;M;24;2;1895;14;12;2000;NOR;;NOR;;EXHAUSTIVE
NOR21895200200033;107;220;39301;M;1;3;1895;7;10;2002;;;NOR;;EXHAUSTIVE
NOR21895200100034;105;312;38663;M;15;3;1895;21;1;2001;NOR;;NOR;;EXHAUSTIVE
NOR21895200100035;105;333;38684;M;15;9;1895;14;8;2001;NOR;;NOR;;EXHAUSTIVE
NOR21895200200036;106;77;38793;M;16;10;1895;1;1;2002;NOR;;NOR;;EXHAUSTIVE
