IDL_ID;AGEYEARS;DAYSSINCEBD;AGEDAYS;SEX;BIRTH_DAY;BIRTH_MONTH;BIRTH_YEAR;DEATH_DAY;DEATH_MONTH;DEATH_YEAR;BIRTH_COUNTRY;BIRTH_LOCALITY;DEATH_COUNTRY;DEATH_LOCALITY;VALIDATION
USA11870198000001;110;123;40300;M;;;1870;;;1980;USA;;USA;;EXHAUSTIVE
USA11870198500002;114;222;41860;M;;;1870;;;1985;USA;;USA;;EXHAUSTIVE
USA11871198200003;111;61;40603;M;;;1871;;;1982;USA;;USA;;EXHAUSTIVE
USA21871197900004;107;320;39400;M;;;1871;;;1979;USA;;USA;;EXHAUSTIVE
USA11872198300005;110;216;40392;M;;;1872;;;1983;USA;;USA;;EXHAUSTIVE
USA11872198300006;110;283;40459;M;;;1872;;;1983;USA;;USA;;EXHAUSTIVE
USA11873198300007;110;341;40517;M;;;1873;;;1983;GRC;;USA;;EXHAUSTIVE
USA21874198000008;106;15;38730;M;;;1874;;;1980;USA;;USA;;EXHAUSTIVE
USA21874198000009;105;239;38589;M;;;1874;;;1980;USA;;USA;;EXHAUSTIVE
USA21874198200010;108;210;39656;M;;;1874;;;1982;USA;;USA;;EXHAUSTIVE
USA11875198600011;111;227;40769;M;;;1875;;;1986;USA;;USA;;EXHAUSTIVE
USA21875198800012;112;156;41063;M;;;1875;;;1988;USA;;USA;;EXHAUSTIVE
USA21875198300013;108;43;39489;M;;;1875;;;1983;USA;;USA;;EXHAUSTIVE
USA21875198100014;105;33;38383;M;;;1875;;;1981;USA;;USA;;EXHAUSTIVE
USA11876198800015;112;135;41042;M;;;1876;;;1988;USA;;USA;;EXHAUSTIVE
USA11876198600016;110;39;40215;M;;;1876;;;1986;USA;;USA;;EXHAUSTIVE
USA21876198400017;107;216;39296;M;;;1876;;;1984;USA;;USA;;EXHAUSTIVE
USA21876198100018;105;93;38443;M;;;1876;;;1981;USA;;USA;;EXHAUSTIVE
USA21876198300019;106;164;38879;M;;;1876;;;1983;USA;;USA;;EXHAUSTIVE
