Year,Age,Sex,Deaths,TL_Deaths,TU_Deaths_Next_Year,Cohort,Country,Population,TL_Deaths_Prev_Year,TU_Deaths_Same_Year,Exposure
1895,80,f,695.6096217907519,322.3152976723366,373.2943241184153,1815,swe,6143.7290496089245,735,692,6158.0623829422575
1895,80,m,528.4672003428628,266.26046329453897,262.2067370483239,1815,swe,4456.154678049419,900,858,4470.154678049419
1896,80,f,658.4984496027172,342.269862864606,316.2285867381112,1816,swe,6320.260330565036,322.3152976723366,373.2943241184153,6303.267321749677
1896,80,m,582.4395312284494,282.22251850239445,300.2170127260549,1816,swe,4681.856174289302,266.26046329453897,262.2067370483239,4683.207416371373
1897,80,f,656.4298653845879,330.2387139986604,326.1911513859275,1817,swe,6024.73458414847,342.269862864606,316.2285867381112,6033.415009523968
1897,80,m,562.3691302196319,289.2090555927662,273.16007462686565,1817,swe,4488.455213399699,282.22251850239445,300.2170127260549,4482.457048658478
1898,80,f,812.5544937506249,344.20170575692964,468.3527879936953,1818,swe,6323.4569785385665,330.2387139986604,326.1911513859275,6324.806166076144
1898,80,m,652.4439304640163,284.16652452025585,368.2774059437604,1818,swe,4862.1924832916375,289.2090555927662,273.16007462686565,4867.542143613604
1899,80,f,745.6146124187416,337.2540375082806,408.36057491046097,1819,swe,6307.900951318225,344.20170575692964,468.3527879936953,6266.517257239304
1899,80,m,663.5452625287014,313.23594581629624,350.30931671240523,1819,swe,4857.787413326413,284.16652452025585,368.2774059437604,4829.750452851911
1900,80,f,707.3199218568305,362.31992185683055,345,1820,swe,6646.319921856831,337.2540375082806,408.36057491046097,6622.61774272277
1900,80,m,646.2704311828456,306.2704311828457,340,1820,swe,5143.270431182846,313.23594581629624,350.30931671240523,5130.912640884143
1901,80,f,765,355,410,1821,swe,7201,362.31992185683055,345,7206.77330728561
1901,80,m,731,351,380,1821,swe,5770,306.2704311828457,340,5758.756810394282
1902,80,f,836,427,409,1822,swe,7698,355,410,7679.666666666667
1902,80,m,695,383,312,1822,swe,5741,351,380,5731.333333333333
1903,80,f,875,396,479,1823,swe,8108,427,409,8114
1903,80,m,738,341,397,1823,swe,6125,383,312,6148.666666666667
1904,80,f,881,412,469,1824,swe,7646,396,479,7618.333333333333
1904,80,m,706,330,376,1824,swe,5797,341,397,5778.333333333333
1905,80,f,847,402,445,1825,swe,8064,412,469,8045
1905,80,m,705,353,352,1825,swe,6144,330,376,6128.666666666667
1906,80,f,872,394,478,1826,swe,7975,402,445,7960.666666666667
1906,80,m,730,349,381,1826,swe,6088,353,352,6088.333333333333
1907,80,f,840,376,464,1827,swe,7174,394,478,7146
1907,80,m,684,328,356,1827,swe,5496,349,381,5485.333333333333
1908,80,f,810,370,440,1828,swe,7706,376,464,7676.666666666667
1908,80,m,645,316,329,1828,swe,5688,328,356,5678.666666666667
1909,80,f,922,447,475,1829,swe,8040,370,440,8016.666666666667
1909,80,m,698,338,360,1829,swe,6163,316,329,6158.666666666667
1910,80,f,825,387,438,1830,swe,8005,447,475,7995.666666666667
1910,80,m,703,347,356,1830,swe,6038,338,360,6030.666666666667
1911,80,f,830,394,436,1831,swe,7426,387,438,7409
1911,80,m,659,357,302,1831,swe,5622,347,356,5619
1912,80,f,786,386,400,1832,swe,7774,394,436,7760
1912,80,m,735,337,398,1832,swe,6189,357,302,6207.333333333333
1913,80,f,951,439,512,1833,swe,8668,386,400,8663.333333333334
1913,80,m,767,354,413,1833,swe,6699,337,398,6678.666666666667
1914,80,f,1103,496,607,1834,swe,8815,439,512,8790.666666666666
1914,80,m,836,381,455,1834,swe,6751,354,413,6731.333333333333
1915,80,f,930,470,460,1835,swe,8740,496,607,8703
1915,80,m,768,377,391,1835,swe,6582,381,455,6557.333333333333
1916,80,f,921,433,488,1836,swe,8512,470,460,8515.333333333334
1916,80,m,738,358,380,1836,swe,6324,377,391,6319.333333333333
1917,80,f,814,395,419,1837,swe,8094,433,488,8075.666666666667
1917,80,m,708,332,376,1837,swe,6204,358,380,6196.666666666667
1917,80,f,363,190,173,1837,fin,2402,353,371,2396
1917,80,m,303,157,146,1837,fin,1549,482,445,1561.3333333333333
1918,80,f,820,443,377,1838,swe,7864,395,419,7856
1918,80,m,692,368,324,1838,swe,5804,332,376,5789.333333333333
1918,80,f,419,218,201,1838,fin,2496,190,173,2501.6666666666665
1918,80,m,278,149,129,1838,fin,1536,157,146,1539.6666666666667
1919,80,f,857,406,451,1839,swe,8044,443,377,8066
1919,80,m,680,318,362,1839,swe,5865,368,324,5879.666666666667
1919,80,f,361,186,175,1839,fin,2539.202288266934,218,201,2544.8689549336004
1919,80,m,253,141,112,1839,fin,1670,149,129,1676.6666666666667
1920,80,f,876,456,420,1840,swe,8827,406,451,8812
1920,80,m,698,362,336,1840,swe,6615,318,362,6600.333333333333
1920,80,f,385,190,195,1840,fin,2842.303432400401,186,175,2845.9700990670676
1920,80,m,230,114,116,1840,fin,1662,141,112,1671.6666666666667
1921,80,f,911,409,502,1841,swe,8303,456,420,8315
1921,80,m,751,349,402,1841,swe,6342,362,336,6350.666666666667
1921,80,f,432.34406901342084,192.63304887509696,239.71102013832385,1841,dnk,3317.7753335243015,454,471,3312.108666857635
1921,80,m,351.09020966512037,152.5011636927851,198.58904597233524,1841,dnk,2726.8595594973067,594,550,2741.526226163973
1921,80,f,375,181,194,1841,fin,2730.158834441411,190,195,2728.4921677747443
1921,80,m,278,145,133,1841,fin,1678.915254237288,114,116,1678.2485875706213
1922,80,f,821,422,399,1842,swe,8580,409,502,8549
1922,80,m,732,356,376,1842,swe,6446,349,402,6428.333333333333
1922,80,f,432.164799061342,203.60392087062652,228.56087819071553,1842,dnk,3438.033715123316,192.63304887509696,239.71102013832385,3422.341058035574
1922,80,m,388.05192452215874,194.5771460537022,193.47477846845655,1842,dnk,2795.2217677630097,152.5011636927851,198.58904597233524,2779.859140336493
1922,80,f,398,205,193,1842,fin,2981.1125854681372,181,194,2976.7792521348038
1922,80,m,287,142,145,1842,fin,1764.4278497942441,145,133,1768.4278497942441
1923,80,f,891,408,483,1843,swe,8613.004153194335,422,399,8620.670819861001
1923,80,m,753,351,402,1843,swe,6553,356,376,6546.333333333333
1923,80,f,403.8907318907794,207.50921835736014,196.38151353341925,1843,dnk,3527.2859872923964,203.60392087062652,228.56087819071553,3518.9670015190336
1923,80,m,372.8237150367896,194.4772384605211,178.34647657626851,1843,dnk,2803.578471502403,194.5771460537022,193.47477846845655,2803.9459273641514
1923,80,f,438,188,250,1843,fin,2921.0705805780312,205,193,2925.0705805780312
1923,80,m,304,145,159,1843,fin,1794.5419076515525,142,145,1793.5419076515525
1924,80,f,894,405,489,1844,swe,8996.006229791503,408,483,8971.006229791503
1924,80,m,787,374,413,1844,swe,7086.004153194336,351,402,7069.004153194336
1924,80,f,421.86499304680956,210.40876450009208,211.45622854671748,1844,dnk,3582.731150562353,207.50921835736014,196.38151353341925,3586.4403855036667
1924,80,m,337.6928583275299,166.3231186048347,171.36973972269521,1844,dnk,2845.0684056109744,194.4772384605211,178.34647657626851,2850.4453262390584
1924,80,f,385,200,185,1844,fin,2909.4722108519577,188,250,2888.805544185291
1924,80,m,259,141,118,1844,fin,1809.0872765446977,145,159,1804.420609878031
1925,80,f,866,428,438,1845,swe,8693.012459583008,405,489,8665.012459583008
1925,80,m,721,336,385,1845,swe,6679.012459583008,374,413,6666.012459583008
1925,80,f,441.7901946465051,221.47785075272304,220.31234389378204,1845,dnk,3534.148975207949,210.40876450009208,211.45622854671748,3533.799820525741
1925,80,m,328.57853264631024,152.32865753128462,176.24987511502565,1845,dnk,2850.558800036539,166.3231186048347,171.36973972269521,2848.8765929972524
1925,80,f,413,206,207,1845,fin,3007.400742615732,200,185,3012.400742615732
1925,80,m,263,134,129,1845,fin,1878.1895485737869,141,118,1885.8562152404536
1926,80,f,930,426,504,1846,swe,7983.0269957631845,428,438,7979.693662429851
1926,80,m,760,348,412,1846,swe,6313.02076597168,336,385,6296.687432638347
1926,80,f,413.5628464771772,175.2484553700539,238.31439110712327,1846,dnk,3585.5620014487113,221.47785075272304,220.31234389378204,3585.950503735025
1926,80,m,384.52522973459935,182.25839358485607,202.26683614974328,1846,dnk,2845.117330821655,152.32865753128462,176.24987511502565,2837.1435916270743
1926,80,f,402,198,204,1846,fin,2852.35294213411,206,207,2852.0196088007765
1926,80,m,251,128,123,1846,fin,1722.0765493823121,134,129,1723.7432160489789
1927,80,f,874,413,461,1847,swe,8279.037378749024,426,504,8253.037378749024
1927,80,m,775,360,415,1847,swe,6578.039455346192,348,412,6556.706122012859
1927,80,f,435.5872081855392,219.28929265739495,216.29791552814427,1847,dnk,3590.179967404852,175.2484553700539,238.31439110712327,3569.157988825829
1927,80,m,356.48028770272373,184.2430586710533,172.23722903167044,1847,dnk,2857.765365303125,182.25839358485607,202.26683614974328,2851.0958844481625
1927,80,f,390,186,204,1847,fin,3016.2895363248767,198,204,3014.2895363248767
1927,80,m,256,127,129,1847,fin,1803.9843191003433,128,123,1805.65098576701
1928,80,f,1000,446,554,1848,swe,8791.107983052736,413,461,8775.107983052736
1928,80,m,803,383,420,1848,swe,6725.058144720705,360,415,6706.724811387372
1928,80,f,496.59510490532057,234.3227418221563,262.2723630831643,1848,dnk,3861.816110459654,219.28929265739495,216.29791552814427,3862.8132361694043
1928,80,m,416.49835321297024,194.26757227990737,222.23078093306287,1848,dnk,3012.4749821097753,184.2430586710533,172.23722903167044,3016.476925322903
1928,80,f,478,228,250,1848,fin,3221.53280697354,186,204,3215.53280697354
1928,80,m,303,144,159,1848,fin,1945.577752124457,127,129,1944.9110854577903
1929,80,f,942,417,525,1849,swe,9572.143285204593,446,554,9536.143285204593
1929,80,m,806,391,415,1849,swe,7400.072680900881,383,420,7387.739347567548
1929,80,f,441.53158187223875,216.22454361054767,225.30703826169108,1849,dnk,3774.3399615663184,234.3227418221563,262.2723630831643,3765.0234211459824
