Year,Age,Cohort,Country,Sex,TL_Deaths,TU_Deaths_Next_Year,Deaths,Population,TL_Deaths_Prev_Year,TU_Deaths_Same_Year,Exposure
1895,80,1815,dnk,f,128.14,138.93,267.07,12478.089049608927,134,98,12490.089049608927
1895,80,1815,dnk,m,109.37,117.76,227.13,9124.184678049418,114.5,82.5,9134.851344716084
1895,80,1815,fin,f,88.7,131.78,220.48000000000002,12478.089049608927,128.14,138.93,12474.49238294226
1895,80,1815,fin,m,70.44,88.64,159.07999999999998,9124.184678049418,109.37,117.76,9121.38801138275
1895,80,1815,nor,f,121,105.5,226.5,12478.089049608927,88.7,131.78,12463.729049608926
1895,80,1815,nor,m,119,90.5,209.5,9124.184678049418,70.44,88.64,9118.11801138275
1895,80,1815,swe,f,322.3152976723366,373.2943241184153,695.6096217907519,12478.089049608927,121,105.5,12483.255716275593
1895,80,1815,swe,m,266.26046329453897,262.2067370483239,528.4672003428628,9124.184678049418,119,90.5,9133.684678049418
1896,80,1816,dnk,f,124.33,155.33,279.66,13114.10033056504,322.3152976723366,373.2943241184153,13097.10732174968
1896,80,1816,dnk,m,108.51,128.18,236.69,9703.036174289302,266.26046329453897,262.2067370483239,9704.387416371374
1896,80,1816,fin,f,117.22,133.2,250.42,13114.10033056504,124.33,155.33,13103.766997231705
1896,80,1816,fin,m,81.36,97.9,179.26,9703.036174289302,108.51,128.18,9696.479507622635
1896,80,1816,nor,f,155,117,272,13114.10033056504,117.22,133.2,13108.773663898373
1896,80,1816,nor,m,110.5,108.5,219,9703.036174289302,81.36,97.9,9697.522840955968
1896,80,1816,swe,f,342.269862864606,316.2285867381112,658.4984496027172,13114.10033056504,155,117,13126.766997231705
1896,80,1816,swe,m,282.22251850239445,300.2170127260549,582.4395312284494,9703.036174289302,110.5,108.5,9703.702840955968
1897,80,1817,dnk,f,138.92,144.37,283.28999999999996,12844.634584148469,342.269862864606,316.2285867381112,12853.315009523967
1897,80,1817,dnk,m,118.02,122.57,240.58999999999997,9407.285213399698,282.22251850239445,300.2170127260549,9401.287048658478
1897,80,1817,fin,f,118.8,139.47,258.27,12844.634584148469,138.92,144.37,12842.817917481801
1897,80,1817,fin,m,90.1,99.46,189.56,9407.285213399698,118.02,122.57,9405.768546733032
1897,80,1817,nor,f,137,107.5,244.5,12844.634584148469,118.8,139.47,12837.74458414847
1897,80,1817,nor,m,124.5,94.5,219,9407.285213399698,90.1,99.46,9404.165213399698
1897,80,1817,swe,f,330.2387139986604,326.1911513859275,656.4298653845879,12844.634584148469,137,107.5,12854.467917481803
1897,80,1817,swe,m,289.2090555927662,273.16007462686565,562.3691302196319,9407.285213399698,124.5,94.5,9417.285213399698
1898,80,1818,dnk,f,129.27,177.55,306.82000000000005,13547.656978538565,330.2387139986604,326.1911513859275,13549.006166076144
1898,80,1818,dnk,m,113.05,143.37,256.42,10176.492483291635,289.2090555927662,273.16007462686565,10181.842143613601
1898,80,1818,fin,f,124.53,158.16,282.69,13547.656978538565,129.27,177.55,13531.563645205231
1898,80,1818,fin,m,91.54,111.46,203,10176.492483291635,113.05,143.37,10166.385816624968
1898,80,1818,nor,f,147,143,290,13547.656978538565,124.53,158.16,13536.446978538566
1898,80,1818,nor,m,136.5,121,257.5,10176.492483291635,91.54,111.46,10169.852483291636
1898,80,1818,swe,f,344.20170575692964,468.3527879936953,812.5544937506249,13547.656978538565,147,143,13548.9903118719
1898,80,1818,swe,m,284.16652452025585,368.2774059437604,652.4439304640163,10176.492483291635,136.5,121,10181.659149958301
1899,80,1819,dnk,f,157.52,187.35,344.87,13433.160951318221,344.20170575692964,468.3527879936953,13391.777257239299
1899,80,1819,dnk,m,131.18,162.96,294.14,10275.877413326412,284.16652452025585,368.2774059437604,10247.840452851911
1899,80,1819,fin,f,140.84,136.22,277.06,13433.160951318221,157.52,187.35,13423.217617984888
1899,80,1819,fin,m,102.54,113.77,216.31,10275.877413326412,131.18,162.96,10265.284079993078
1899,80,1819,nor,f,152,147.5,299.5,13433.160951318221,140.84,136.22,13434.700951318222
1899,80,1819,nor,m,125.5,125.5,251,10275.877413326412,102.54,113.77,10272.134079993079
1899,80,1819,swe,f,337.2540375082806,408.36057491046097,745.6146124187416,13433.160951318221,152,147.5,13434.660951318221
1899,80,1819,swe,m,313.23594581629624,350.30931671240523,663.5452625287014,10275.877413326412,125.5,125.5,10275.877413326412
1900,80,1820,dnk,f,167.48,162.64,330.12,14582.959921856831,337.2540375082806,408.36057491046097,14559.257742722772
1900,80,1820,dnk,m,150.1,138.63,288.73,11171.420431182845,313.23594581629624,350.30931671240523,11159.062640884142
1900,80,1820,fin,f,120.78,151.45,272.23,14582.959921856831,167.48,162.64,14584.573255190164
1900,80,1820,fin,m,104.23,110.04,214.27,11171.420431182845,150.1,138.63,11175.243764516179
1900,80,1820,nor,f,190.5,138.5,329,14582.959921856831,120.78,151.45,14572.736588523498
1900,80,1820,nor,m,171.5,126.5,298,11171.420431182845,104.23,110.04,11169.483764516179
1900,80,1820,swe,f,362.31992185683055,345,707.3199218568305,14582.959921856831,190.5,138.5,14600.293255190165
1900,80,1820,swe,m,306.2704311828457,340,646.2704311828456,11171.420431182845,171.5,126.5,11186.420431182845
1901,80,1821,dnk,f,145.19,165.21,310.4,14970.390000000001,362.31992185683055,345,14976.163307285611
1901,80,1821,dnk,m,127.42,137.18,264.6,11682.030000000002,306.2704311828457,340,11670.786810394284
1901,80,1821,fin,f,134.55,142.55,277.1,14970.390000000001,145.19,165.21,14963.716666666667
1901,80,1821,fin,m,100.96,131.68,232.64,11682.030000000002,127.42,137.18,11678.776666666668
1901,80,1821,nor,f,146.5,152,298.5,14970.390000000001,134.55,142.55,14967.723333333335
1901,80,1821,nor,m,133.5,129,262.5,11682.030000000002,100.96,131.68,11671.790000000003
1901,80,1821,swe,f,355,410,765,14970.390000000001,146.5,152,14968.556666666667
1901,80,1821,swe,m,351,380,731,11682.030000000002,133.5,129,11683.530000000002
1902,80,1822,dnk,f,148.7,173.13,321.83,15610.859999999999,355,410,15592.526666666665
1902,80,1822,dnk,m,126.81,142.58,269.39,11859.599999999997,351,380,11849.93333333333
1902,80,1822,fin,f,127.45,140.39,267.84,15610.859999999999,148.7,173.13,15602.716666666665
1902,80,1822,fin,m,121.32,102.51,223.82999999999998,11859.599999999997,126.81,142.58,11854.34333333333
1902,80,1822,nor,f,146.5,142.5,289,15610.859999999999,127.45,140.39,15606.546666666665
1902,80,1822,nor,m,124.5,128.5,253,11859.599999999997,121.32,102.51,11865.869999999997
1902,80,1822,swe,f,427,409,836,15610.859999999999,146.5,142.5,15612.193333333333
1902,80,1822,swe,m,383,312,695,11859.599999999997,124.5,128.5,11858.266666666663
1903,80,1823,dnk,f,155.51,161.14,316.65,16158.31,427,409,16164.31
1903,80,1823,dnk,m,131.82,142.22,274.03999999999996,12139.300000000005,383,312,12162.96666666667
1903,80,1823,fin,f,125.61,166.17,291.78,16158.31,155.51,161.14,16156.433333333332
1903,80,1823,fin,m,94.49,112.84,207.32999999999998,12139.300000000005,131.82,142.22,12135.833333333338
1903,80,1823,nor,f,145.5,136,281.5,16158.31,125.61,166.17,16144.789999999999
1903,80,1823,nor,m,139.5,114,253.5,12139.300000000005,94.49,112.84,12133.183333333338
1903,80,1823,swe,f,396,479,875,16158.31,145.5,136,16161.476666666666
1903,80,1823,swe,m,341,397,738,12139.300000000005,139.5,114,12147.800000000005
1904,80,1824,dnk,f,145.24,176.2,321.44,15873.970000000003,396,479,15846.303333333337
1904,80,1824,dnk,m,131.47,146.75,278.22,11955.049999999997,341,397,11936.383333333331
1904,80,1824,fin,f,148.83,163.32,312.15,15873.970000000003,145.24,176.2,15863.650000000003
1904,80,1824,fin,m,104.16,110.92,215.07999999999998,11955.049999999997,131.47,146.75,11949.956666666663
1904,80,1824,nor,f,157,168,325,15873.970000000003,148.83,163.32,15869.140000000003
1904,80,1824,nor,m,143.5,134.5,278,11955.049999999997,104.16,110.92,11952.796666666663
1904,80,1824,swe,f,412,469,881,15873.970000000003,157,168,15870.303333333337
1904,80,1824,swe,m,330,376,706,11955.049999999997,143.5,134.5,11958.049999999997
1905,80,1825,dnk,f,157.97,157.74,315.71000000000004,16330.760000000002,412,469,16311.760000000002
1905,80,1825,dnk,m,135.48,135.59,271.07,12434.550000000003,330,376,12419.216666666669
1905,80,1825,fin,f,145.68,132.91,278.59000000000003,16330.760000000002,157.97,157.74,16330.836666666668
1905,80,1825,fin,m,102.08,107.62,209.7,12434.550000000003,135.48,135.59,12434.513333333336
1905,80,1825,nor,f,180,136,316,16330.760000000002,145.68,132.91,16335.016666666668
1905,80,1825,nor,m,157.5,123.5,281,12434.550000000003,102.08,107.62,12432.703333333337
1905,80,1825,swe,f,402,445,847,16330.760000000002,180,136,16345.426666666668
1905,80,1825,swe,m,353,352,705,12434.550000000003,157.5,123.5,12445.883333333337
1906,80,1826,dnk,f,142.11,183.28,325.39,16308.46,402,445,16294.126666666665
1906,80,1826,dnk,m,125.57,148.16,273.73,12266.11,353,352,12266.443333333335
1906,80,1826,fin,f,119.09,169.06,288.15,16308.46,142.11,183.28,16294.736666666666
1906,80,1826,fin,m,99.38,117.87,217.25,12266.11,125.57,148.16,12258.58
1906,80,1826,nor,f,179.5,161.5,341,16308.46,119.09,169.06,16291.803333333333
1906,80,1826,nor,m,150.5,133.5,284,12266.11,99.38,117.87,12259.946666666667
1906,80,1826,swe,f,394,478,872,16308.46,179.5,161.5,16314.46
1906,80,1826,swe,m,349,381,730,12266.11,150.5,133.5,12271.776666666667
1907,80,1827,dnk,f,165.3,178.51,343.81,15386.58,394,478,15358.58
1907,80,1827,dnk,m,137.21,140.46,277.67,11568.77,349,381,11558.103333333334
1907,80,1827,fin,f,151.94,169.88,321.82,15386.58,165.3,178.51,15382.176666666666
1907,80,1827,fin,m,109.13,133.2,242.32999999999998,11568.77,137.21,140.46,11567.686666666666
1907,80,1827,nor,f,162.5,140.5,303,15386.58,151.94,169.88,15380.6
1907,80,1827,nor,m,154,130,284,11568.77,109.13,133.2,11560.746666666668
1907,80,1827,swe,f,376,464,840,15386.58,162.5,140.5,15393.913333333334
1907,80,1827,swe,m,328,356,684,11568.77,154,130,11576.77
1908,80,1828,dnk,f,159.85,165.64,325.49,15913.889999999998,376,464,15884.556666666664
1908,80,1828,dnk,m,129.53,136.4,265.93,11769.760000000004,328,356,11760.42666666667
1908,80,1828,fin,f,152.12,169.58,321.70000000000005,15913.889999999998,159.85,165.64,15911.959999999997
1908,80,1828,fin,m,122.8,124.09,246.89,11769.760000000004,129.53,136.4,11767.470000000003
1908,80,1828,nor,f,167,152,319,15913.889999999998,152.12,169.58,15908.069999999998
1908,80,1828,nor,m,153.5,125.5,279,11769.760000000004,122.8,124.09,11769.330000000004
1908,80,1828,swe,f,370,440,810,15913.889999999998,167,152,15918.889999999998
1908,80,1828,swe,m,316,329,645,11769.760000000004,153.5,125.5,11779.093333333338
1909,80,1829,dnk,f,150.1,154.38,304.48,16218.539999999999,370,440,16195.206666666665
1909,80,1829,dnk,m,126.76,134.94,261.7,12380.760000000004,316,329,12376.42666666667
1909,80,1829,fin,f,152.42,146.53,298.95,16218.539999999999,150.1,154.38,16217.113333333333
1909,80,1829,fin,m,114.91,120.02,234.93,12380.760000000004,126.76,134.94,12378.033333333336
1909,80,1829,nor,f,151,148,299,16218.539999999999,152.42,146.53,16220.503333333332
1909,80,1829,nor,m,163,157.5,320.5,12380.760000000004,114.91,120.02,12379.056666666671
1909,80,1829,swe,f,447,475,922,16218.539999999999,151,148,16219.539999999999
1909,80,1829,swe,m,338,360,698,12380.760000000004,163,157.5,12382.593333333338
1910,80,1830,dnk,f,139.49,166.12,305.61,16673.85,447,475,16664.516666666666
1910,80,1830,dnk,m,125.32,131.31,256.63,12468.69,338,360,12461.356666666667
1910,80,1830,fin,f,131.47,166.41,297.88,16673.85,139.49,166.12,16664.97333333333
1910,80,1830,fin,m,110.98,114.26,225.24,12468.69,125.32,131.31,12466.693333333335
1910,80,1830,nor,f,197.5,154.5,352,16673.85,131.47,166.41,16662.20333333333
1910,80,1830,nor,m,163.5,142.5,306,12468.69,110.98,114.26,12467.596666666666
1910,80,1830,swe,f,387,438,825,16673.85,197.5,154.5,16688.18333333333
1910,80,1830,swe,m,347,356,703,12468.69,163.5,142.5,12475.69
1911,80,1831,dnk,f,149.83,177.11,326.94000000000005,15213.640000000003,387,438,15196.640000000003
1911,80,1831,dnk,m,121.83,139.97,261.8,11466.470000000001,347,356,11463.470000000001
1911,80,1831,fin,f,149.59,160.99,310.58000000000004,15213.640000000003,149.83,177.11,15204.546666666669
1911,80,1831,fin,m,105.74,111.08,216.82,11466.470000000001,121.83,139.97,11460.423333333334
1911,80,1831,nor,f,141.5,137,278.5,15213.640000000003,149.59,160.99,15209.840000000004
1911,80,1831,nor,m,125,121,246,11466.470000000001,105.74,111.08,11464.69
1911,80,1831,swe,f,394,436,830,15213.640000000003,141.5,137,15215.140000000003
1911,80,1831,swe,m,357,302,659,11466.470000000001,125,121,11467.803333333335
1912,80,1832,dnk,f,160.87,172.21,333.08000000000004,15842.600000000002,394,436,15828.600000000002
1912,80,1832,dnk,m,130.26,146.9,277.15999999999997,12380.659999999996,357,302,12398.99333333333
1912,80,1832,fin,f,145.01,159.48,304.49,15842.600000000002,160.87,172.21,15838.820000000002
1912,80,1832,fin,m,102.92,119.93,222.85000000000002,12380.659999999996,130.26,146.9,12375.11333333333
1912,80,1832,nor,f,156.5,147,303.5,15842.600000000002,145.01,159.48,15837.776666666668
1912,80,1832,nor,m,134,133,267,12380.659999999996,102.92,119.93,12374.989999999996
1912,80,1832,swe,f,386,400,786,15842.600000000002,156.5,147,15845.766666666668
1912,80,1832,swe,m,337,398,735,12380.659999999996,134,133,12380.99333333333
1913,80,1833,dnk,f,156.35,172.4,328.75,17189.249999999996,386,400,17184.58333333333
1913,80,1833,dnk,m,136.83,144.59,281.42,13203.61,337,398,13183.276666666667
1913,80,1833,fin,f,143.52,171.41,314.93,17189.249999999996,156.35,172.4,17183.899999999998
1913,80,1833,fin,m,111.07,114.09,225.16,13203.61,136.83,144.59,13201.023333333334
1913,80,1833,nor,f,157.5,164,321.5,17189.249999999996,143.52,171.41,17179.95333333333
1913,80,1833,nor,m,146,136.5,282.5,13203.61,111.07,114.09,13202.603333333334
1913,80,1833,swe,f,439,512,951,17189.249999999996,157.5,164,17187.08333333333
1913,80,1833,swe,m,354,413,767,13203.61,146,136.5,13206.776666666667
1914,80,1834,dnk,f,156.18,203.87,360.05,17809.319999999996,439,512,17784.986666666664
1914,80,1834,dnk,m,134.33,156.76,291.09000000000003,13432.609999999999,354,413,13412.943333333333
1914,80,1834,fin,f,154.59,180.96,335.55,17809.319999999996,156.18,203.87,17793.42333333333
1914,80,1834,fin,m,105.91,156.76,262.66999999999996,13432.609999999999,134.33,156.76,13425.133333333331
1914,80,1834,nor,f,170.5,155.5,326,17809.319999999996,154.59,180.96,17800.529999999995
1914,80,1834,nor,m,159.5,139,298.5,13432.609999999999,105.91,156.76,13415.659999999998
1914,80,1834,swe,f,496,607,1103,17809.319999999996,170.5,155.5,17814.319999999996
1914,80,1834,swe,m,381,455,836,13432.609999999999,159.5,139,13439.443333333333
1915,80,1835,dnk,f,185.26,212.23,397.49,18052.510000000002,496,607,18015.510000000002
1915,80,1835,dnk,m,145.84,176.9,322.74,13430.690000000004,381,455,13406.023333333338
1915,80,1835,fin,f,163.04,176.25,339.28999999999996,18052.510000000002,185.26,212.23,18043.52
1915,80,1835,fin,m,145.24,131.82,277.06,13430.690000000004,145.84,176.9,13420.336666666672
1915,80,1835,nor,f,176,175.5,351.5,18052.510000000002,163.04,176.25,18048.10666666667
1915,80,1835,nor,m,161,163,324,13430.690000000004,145.24,131.82,13435.163333333338
1915,80,1835,swe,f,470,460,930,18052.510000000002,176,175.5,18052.67666666667
